marmota_marmota_marmota ENSMMMG00000018329
urocitellus_parryii ENSUPAG00010018698
ictidomys_tridecemlineatus ENSSTOG00000025894
spermophilus_dauricus ENSSDAG00000014461
castor_canadensis ENSCCNG00000023616
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007602
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000018302
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100011402
cavia_porcellus ENSCPOG00000025016
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000069708
mus_spicilegus ENSMSIG00000013387
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015986
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015177
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0023797
rattus_norvegicus ENSRNOG00000025982
meriones_unguiculatus ENSMUGG00000009585
cricetulus_griseus_crigri-picr ENSCGRG00015026549
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001002278
cricetulus_griseus_crigri_1.0 ENSCGRG00000005840
mesocricetus_auratus ENSMAUG00000010678
peromyscus_maniculatus_bairdii ENSPEMG00000001193
nannospalax_galili ENSNGAG00000016369
jaculus_jaculus ENSJJAG00000003037
prolemur_simus ENSPSMG00000009305
microcebus_murinus ENSMICG00000028342
propithecus_coquereli ENSPCOG00000013320
carlito_syrichta ENSTSYG00000035794
saimiri_boliviensis_boliviensis ENSSBOG00000007244
cebus_capucinus_imitator ENSCCAG00000004925
callithrix_jacchus ENSCJAG00000043814
aotus_nancymaae ENSANAG00000037359
macaca_nemestrina ENSMNEG00000001751
macaca_fascicularis ENSMFAG00000025450
macaca_mulatta ENSMMUG00000004988
theropithecus_gelada ENSTGEG00000011385
cercocebus_atys ENSCATG00000013309
papio_anubis ENSPANG00000035895
mandrillus_leucophaeus ENSMLEG00000024567
colobus_angolensis_palliatus ENSCANG00000006750
oryctolagus_cuniculus ENSOCUG00000026295
bos_mutus ENSBMUG00000007870
bos_taurus ENSBTAG00000040533
bison_bison_bison ENSBBBG00000023122
capra_hircus ENSCHIG00000005112
ovis_aries ENSOARG00000002527
sus_scrofa ENSSSCG00000037870
ursus_americanus ENSUAMG00000017162
ursus_maritimus ENSUMAG00000024423
neovison_vison ENSNVIG00000017188
panthera_pardus ENSPPRG00000020910
panthera_tigris_altaica ENSPTIG00000005405
felis_catus ENSFCAG00000025069
myotis_lucifugus ENSMLUG00000022539
equus_asinus_asinus ENSEASG00005011091
equus_caballus ENSECAG00000006185
loxodonta_africana ENSLAFG00000030742
phascolarctos_cinereus ENSPCIG00000004656
monodelphis_domestica ENSMODG00000023313
ornithorhynchus_anatinus ENSOANG00000010185
