mus_spicilegus ENSMSIG00000001483
nannospalax_galili ENSNGAG00000004265
microtus_ochrogaster ENSMOCG00000002284
colobus_angolensis_palliatus ENSCANG00000029122
notechis_scutatus ENSNSUG00000011938
latimeria_chalumnae ENSLACG00000012315
xiphophorus_maculatus ENSXMAG00000027632
poecilia_reticulata ENSPREG00000017076
mola_mola ENSMMOG00000021218
lepisosteus_oculatus ENSLOCG00000002433
eptatretus_burgeri ENSEBUG00000015972
caenorhabditis_elegans_strain_n2 WBGene00001232
saccharomyces_cerevisiae_strain_s288c YMR146C
