neolamprologus_brichardi ENSNBRG00000006495
poecilia_mexicana ENSPMEG00000003296
danio_rerio ENSDARG00000079980
poecilia_mexicana ENSPMEG00000015666
poecilia_reticulata ENSPREG00000000409
gambusia_affinis ENSGAFG00000010296
cyprinodon_variegatus ENSCVAG00000016687
oryzias_latipes_asm223467v1 ENSORLG00000011630
oryzias_latipes_asm223469v1 ENSORLG00015004275
maylandia_zebra ENSMZEG00005007105
astatotilapia_calliptera ENSACLG00000021189
oreochromis_niloticus ENSONIG00000017691
astatotilapia_calliptera ENSACLG00000021163
maylandia_zebra ENSMZEG00005007175
pundamilia_nyererei ENSPNYG00000000704
gasterosteus_aculeatus ENSGACG00000018941
ictalurus_punctatus ENSIPUG00000007637
paramormyrops_kingsleyae ENSPKIG00000002238
coturnix_japonica ENSCJPG00005016532
salvator_merianae ENSSMRG00000003822
ciona_intestinalis ENSCING00000021435
caenorhabditis_elegans_strain_n2 WBGene00009484
