haplochromis_burtoni ENSHBUG00000007564
astatotilapia_calliptera ENSACLG00000020547
amphilophus_citrinellus ENSACIG00000010269
amphiprion_percula ENSAPEG00000000949
acanthochromis_polyacanthus ENSAPOG00000023182
poecilia_reticulata ENSPREG00000016048
xiphophorus_maculatus ENSXMAG00000026205
cyprinodon_variegatus ENSCVAG00000017496
oryzias_latipes_asm223467v1 ENSORLG00000017818
oryzias_latipes_asm223471v1 ENSORLG00020016383
oryzias_latipes_asm223469v1 ENSORLG00015014446
oryzias_melastigma ENSOMEG00000005440
seriola_lalandi_dorsalis ENSSLDG00000008475
seriola_dumerili ENSSDUG00000001458
takifugu_rubripes ENSTRUG00000019750
monopterus_albus ENSMALG00000013837
hippocampus_comes ENSHCOG00000002981
periophthalmus_magnuspinnatus ENSPMGG00000002293
pygocentrus_nattereri ENSPNAG00000011077
