bison_bison_bison ENSBBBG00000011587
microcebus_murinus ENSMICG00000027813
vicugna_pacos ENSVPAG00000005642
bos_mutus ENSBMUG00000016365
vicugna_pacos ENSVPAG00000007894
neovison_vison ENSNVIG00000013357
tupaia_belangeri ENSTBEG00000004631
bos_taurus ENSBTAG00000048481
ursus_americanus ENSUAMG00000002266
urocitellus_parryii ENSUPAG00010000304
ailuropoda_melanoleuca ENSAMEG00000006963
mustela_putorius_furo ENSMPUG00000006227
canis_lupus_familiaris ENSCAFG00000032172
canis_lupus_dingo ENSCAFG00020014959
vulpes_vulpes ENSVVUG00000001966
aotus_nancymaae ENSANAG00000029431
cebus_capucinus_imitator ENSCCAG00000036460
bos_taurus ENSBTAG00000055250
bos_mutus ENSBMUG00000015206
procavia_capensis ENSPCAG00000007121
echinops_telfairi ENSETEG00000012723
taeniopygia_guttata ENSTGUG00000018336
