homo_sapiens ENSG00000136514
gorilla_gorilla ENSGGOG00000001227
pan_paniscus ENSPPAG00000031599
pan_troglodytes ENSPTRG00000051696
pongo_abelii ENSPPYG00000014392
nomascus_leucogenys ENSNLEG00000006699
rhinopithecus_roxellana ENSRROG00000028487
rhinopithecus_bieti ENSRBIG00000037859
piliocolobus_tephrosceles ENSPTEG00000010588
colobus_angolensis_palliatus ENSCANG00000038433
macaca_nemestrina ENSMNEG00000037616
macaca_fascicularis ENSMFAG00000037745
macaca_mulatta ENSMMUG00000013007
cercocebus_atys ENSCATG00000040867
mandrillus_leucophaeus ENSMLEG00000004630
theropithecus_gelada ENSTGEG00000023351
papio_anubis ENSPANG00000018683
chlorocebus_sabaeus ENSCSAG00000009173
saimiri_boliviensis_boliviensis ENSSBOG00000036013
cebus_capucinus_imitator ENSCCAG00000034075
callithrix_jacchus ENSCJAG00000014427
aotus_nancymaae ENSANAG00000025854
carlito_syrichta ENSTSYG00000009536
prolemur_simus ENSPSMG00000018513
microcebus_murinus ENSMICG00000048967
propithecus_coquereli ENSPCOG00000017208
otolemur_garnettii ENSOGAG00000001301
tupaia_belangeri ENSTBEG00000005438
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000012948
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100012683
fukomys_damarensis ENSFDAG00000015358
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000033355
mus_spicilegus ENSMSIG00000026325
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021515
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020619
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016324
rattus_norvegicus ENSRNOG00000028895
meriones_unguiculatus ENSMUGG00000015541
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013991
cricetulus_griseus_crigri-picr ENSCGRG00015025118
cricetulus_griseus_crigri_1.0 ENSCGRG00000009985
mesocricetus_auratus ENSMAUG00000008425
microtus_ochrogaster ENSMOCG00000014620
marmota_marmota_marmota ENSMMMG00000009405
urocitellus_parryii ENSUPAG00010001238
spermophilus_dauricus ENSSDAG00000008819
ictidomys_tridecemlineatus ENSSTOG00000010275
oryctolagus_cuniculus ENSOCUG00000007680
ochotona_princeps ENSOPRG00000015390
pteropus_vampyrus ENSPVAG00000016241
myotis_lucifugus ENSMLUG00000006180
sorex_araneus ENSSARG00000013213
erinaceus_europaeus ENSEEUG00000004430
bos_taurus ENSBTAG00000032265
bos_mutus ENSBMUG00000012118
bison_bison_bison ENSBBBG00000020224
capra_hircus ENSCHIG00000021716
ovis_aries ENSOARG00000020495
tursiops_truncatus ENSTTRG00000008999
sus_scrofa ENSSSCG00000034802
vicugna_pacos ENSVPAG00000003880
equus_asinus_asinus ENSEASG00005014111
equus_caballus ENSECAG00000023264
ursus_maritimus ENSUMAG00000004042
ursus_americanus ENSUAMG00000014449
ailuropoda_melanoleuca ENSAMEG00000000842
neovison_vison ENSNVIG00000020439
mustela_putorius_furo ENSMPUG00000003380
canis_lupus_familiaris ENSCAFG00000013889
canis_lupus_dingo ENSCAFG00020006257
vulpes_vulpes ENSVVUG00000013339
panthera_tigris_altaica ENSPTIG00000001509
panthera_pardus ENSPPRG00000001304
felis_catus ENSFCAG00000042741
procavia_capensis ENSPCAG00000011016
loxodonta_africana ENSLAFG00000027127
echinops_telfairi ENSETEG00000013849
notamacropus_eugenii ENSMEUG00000005031
crocodylus_porosus ENSCPRG00005012504
