canis_lupus_familiaris ENSCAFG00000030374
canis_lupus_dingo ENSCAFG00020012895
ursus_americanus ENSUAMG00000026157
panthera_pardus ENSPPRG00000000728
equus_asinus_asinus ENSEASG00005004066
equus_caballus ENSECAG00000011794
bos_taurus ENSBTAG00000047591
bos_mutus ENSBMUG00000011554
ovis_aries ENSOARG00000008721
sus_scrofa ENSSSCG00000001734
macaca_mulatta ENSMMUG00000039015
theropithecus_gelada ENSTGEG00000029711
chlorocebus_sabaeus ENSCSAG00000019297
piliocolobus_tephrosceles ENSPTEG00000009418
pan_paniscus ENSPPAG00000025064
pan_troglodytes ENSPTRG00000018259
homo_sapiens ENSG00000197261
gorilla_gorilla ENSGGOG00000000631
pongo_abelii ENSPPYG00000016688
carlito_syrichta ENSTSYG00000028405
propithecus_coquereli ENSPCOG00000020450
prolemur_simus ENSPSMG00000015737
otolemur_garnettii ENSOGAG00000016617
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001006784
cricetulus_griseus_crigri_1.0 ENSCGRG00000013670
cricetulus_griseus_crigri-picr ENSCGRG00015006705
mesocricetus_auratus ENSMAUG00000012110
peromyscus_maniculatus_bairdii ENSPEMG00000002757
mus_spicilegus ENSMSIG00000014864
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000054951
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022529
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021617
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020609
rattus_norvegicus ENSRNOG00000048967
meriones_unguiculatus ENSMUGG00000022887
nannospalax_galili ENSNGAG00000014630
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000005551
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100004487
urocitellus_parryii ENSUPAG00010014905
spermophilus_dauricus ENSSDAG00000006224
marmota_marmota_marmota ENSMMMG00000024614
ictidomys_tridecemlineatus ENSSTOG00000001431
castor_canadensis ENSCCNG00000007499
loxodonta_africana ENSLAFG00000002791
echinops_telfairi ENSETEG00000018286
dasypus_novemcinctus ENSDNOG00000002473
