mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022877
mus_spicilegus ENSMSIG00000031015
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021961
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020950
meriones_unguiculatus ENSMUGG00000017353
cricetulus_griseus_crigri_1.0 ENSCGRG00000006273
cricetulus_griseus_crigri-picr ENSCGRG00015025166
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014569
mesocricetus_auratus ENSMAUG00000018269
microtus_ochrogaster ENSMOCG00000011467
nannospalax_galili ENSNGAG00000009682
marmota_marmota_marmota ENSMMMG00000008163
ictidomys_tridecemlineatus ENSSTOG00000029377
