ailuropoda_melanoleuca ENSAMEG00000010442
mustela_putorius_furo ENSMPUG00000001259
loxodonta_africana ENSLAFG00000030050
loxodonta_africana ENSLAFG00000027529
loxodonta_africana ENSLAFG00000028896
spermophilus_dauricus ENSSDAG00000022703
monodelphis_domestica ENSMODG00000010904
monodelphis_domestica ENSMODG00000007913
phascolarctos_cinereus ENSPCIG00000035043
tursiops_truncatus ENSTTRG00000015648
sus_scrofa ENSSSCG00000037512
vicugna_pacos ENSVPAG00000000043
bos_taurus ENSBTAG00000037965
bison_bison_bison ENSBBBG00000003280
bos_mutus ENSBMUG00000024303
bos_taurus ENSBTAG00000051232
capra_hircus ENSCHIG00000017885
ovis_aries ENSOARG00000017751
equus_asinus_asinus ENSEASG00005012120
equus_caballus ENSECAG00000016879
erinaceus_europaeus ENSEEUG00000006981
erinaceus_europaeus ENSEEUG00000004267
ursus_americanus ENSUAMG00000012415
ursus_maritimus ENSUMAG00000019368
mustela_putorius_furo ENSMPUG00000001273
neovison_vison ENSNVIG00000014212
canis_lupus_familiaris ENSCAFG00000024985
canis_lupus_dingo ENSCAFG00020003049
vulpes_vulpes ENSVVUG00000020141
panthera_pardus ENSPPRG00000013486
panthera_tigris_altaica ENSPTIG00000000943
felis_catus ENSFCAG00000000244
sorex_araneus ENSSARG00000008482
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000006288
castor_canadensis ENSCCNG00000001161
oryctolagus_cuniculus ENSOCUG00000029301
ochotona_princeps ENSOPRG00000003127
pan_troglodytes ENSPTRG00000017876
homo_sapiens ENSG00000187987
gorilla_gorilla ENSGGOG00000024543
pongo_abelii ENSPPYG00000016373
nomascus_leucogenys ENSNLEG00000028711
macaca_mulatta ENSMMUG00000012396
macaca_nemestrina ENSMNEG00000006997
macaca_fascicularis ENSMFAG00000041692
mandrillus_leucophaeus ENSMLEG00000041699
cercocebus_atys ENSCATG00000015896
papio_anubis ENSPANG00000012448
theropithecus_gelada ENSTGEG00000003639
chlorocebus_sabaeus ENSCSAG00000008044
colobus_angolensis_palliatus ENSCANG00000011616
piliocolobus_tephrosceles ENSPTEG00000036412
rhinopithecus_bieti ENSRBIG00000043119
rhinopithecus_roxellana ENSRROG00000044825
saimiri_boliviensis_boliviensis ENSSBOG00000032258
cebus_capucinus_imitator ENSCCAG00000025597
callithrix_jacchus ENSCJAG00000018616
aotus_nancymaae ENSANAG00000034248
carlito_syrichta ENSTSYG00000000711
propithecus_coquereli ENSPCOG00000014624
microcebus_murinus ENSMICG00000010510
prolemur_simus ENSPSMG00000015848
prolemur_simus ENSPSMG00000002555
otolemur_garnettii ENSOGAG00000006605
ictidomys_tridecemlineatus ENSSTOG00000004477
spermophilus_dauricus ENSSDAG00000022700
urocitellus_parryii ENSUPAG00010011446
marmota_marmota_marmota ENSMMMG00000020573
echinops_telfairi ENSETEG00000007536
choloepus_hoffmanni ENSCHOG00000004064
dasypus_novemcinctus ENSDNOG00000046452
procavia_capensis ENSPCAG00000015061
phascolarctos_cinereus ENSPCIG00000016594
monodelphis_domestica ENSMODG00000008321
