maylandia_zebra ENSMZEG00005014856
cynoglossus_semilaevis ENSCSEG00000017960
poecilia_latipinna ENSPLAG00000019848
poecilia_mexicana ENSPMEG00000018805
cyprinodon_variegatus ENSCVAG00000021888
stegastes_partitus ENSSPAG00000008072
seriola_lalandi_dorsalis ENSSLDG00000005095
monopterus_albus ENSMALG00000005892
mastacembelus_armatus ENSMAMG00000011985
periophthalmus_magnuspinnatus ENSPMGG00000013733
poecilia_latipinna ENSPLAG00000009930
poecilia_latipinna ENSPLAG00000009936
periophthalmus_magnuspinnatus ENSPMGG00000013729
hippocampus_comes ENSHCOG00000014554
cynoglossus_semilaevis ENSCSEG00000014222
monopterus_albus ENSMALG00000008728
pygocentrus_nattereri ENSPNAG00000013122
paramormyrops_kingsleyae ENSPKIG00000010990
