amphiprion_percula ENSAPEG00000021133
amphiprion_ocellaris ENSAOCG00000002744
acanthochromis_polyacanthus ENSAPOG00000023974
stegastes_partitus ENSSPAG00000013321
fundulus_heteroclitus ENSFHEG00000010440
cyprinodon_variegatus ENSCVAG00000016237
poecilia_formosa ENSPFOG00000006706
poecilia_mexicana ENSPMEG00000017012
poecilia_reticulata ENSPREG00000020193
poecilia_latipinna ENSPLAG00000002844
xiphophorus_maculatus ENSXMAG00000008643
xiphophorus_couchianus ENSXCOG00000005003
gambusia_affinis ENSGAFG00000015098
kryptolebias_marmoratus ENSKMAG00000007523
oryzias_latipes_asm223467v1 ENSORLG00000005411
oryzias_latipes_asm223471v1 ENSORLG00020012614
oryzias_latipes_asm223469v1 ENSORLG00015010412
oryzias_melastigma ENSOMEG00000007933
oreochromis_niloticus ENSONIG00000013509
neolamprologus_brichardi ENSNBRG00000006704
maylandia_zebra ENSMZEG00005002894
pundamilia_nyererei ENSPNYG00000021336
haplochromis_burtoni ENSHBUG00000017133
astatotilapia_calliptera ENSACLG00000021905
amphilophus_citrinellus ENSACIG00000024013
mastacembelus_armatus ENSMAMG00000008874
monopterus_albus ENSMALG00000019168
anabas_testudineus ENSATEG00000016026
seriola_lalandi_dorsalis ENSSLDG00000022833
seriola_dumerili ENSSDUG00000021180
scophthalmus_maximus ENSSMAG00000017913
cynoglossus_semilaevis ENSCSEG00000018079
takifugu_rubripes ENSTRUG00000015533
tetraodon_nigroviridis ENSTNIG00000013014
mola_mola ENSMMOG00000014243
labrus_bergylta ENSLBEG00000015491
gasterosteus_aculeatus ENSGACG00000019753
gadus_morhua ENSGMOG00000007053
esox_lucius ENSELUG00000008858
pygocentrus_nattereri ENSPNAG00000011119
astyanax_mexicanus ENSAMXG00000043300
ictalurus_punctatus ENSIPUG00000001738
danio_rerio ENSDARG00000051955
scleropages_formosus ENSSFOG00015008462
