cavia_aperea ENSCAPG00000015494
dipodomys_ordii ENSDORG00000000236
ornithorhynchus_anatinus ENSOANG00000007546
cyanistes_caeruleus ENSCCEG00000023621
parus_major ENSPMJG00000008451
melopsittacus_undulatus ENSMUNG00000012584
nothoprocta_perdicaria ENSNPEG00000000198
neolamprologus_brichardi ENSNBRG00000018920
eptatretus_burgeri ENSEBUG00000005728
seriola_lalandi_dorsalis ENSSLDG00000002247
piliocolobus_tephrosceles ENSPTEG00000001617
drosophila_melanogaster FBgn0010516
caenorhabditis_elegans_strain_n2 WBGene00009187
