mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027290
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026318
mus_spicilegus ENSMSIG00000015125
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000073774
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028650
rattus_norvegicus ENSRNOG00000037618
meriones_unguiculatus ENSMUGG00000010649
cricetulus_griseus_crigri-picr ENSCGRG00015023945
cricetulus_griseus_crigri_1.0 ENSCGRG00000014904
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001024146
mesocricetus_auratus ENSMAUG00000017362
peromyscus_maniculatus_bairdii ENSPEMG00000025397
microtus_ochrogaster ENSMOCG00000012291
nannospalax_galili ENSNGAG00000002764
jaculus_jaculus ENSJJAG00000007732
spermophilus_dauricus ENSSDAG00000003710
spermophilus_dauricus ENSSDAG00000003695
marmota_marmota_marmota ENSMMMG00000018376
ictidomys_tridecemlineatus ENSSTOG00000026559
urocitellus_parryii ENSUPAG00010020353
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000000562
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003720
fukomys_damarensis ENSFDAG00000016487
cavia_porcellus ENSCPOG00000035083
cavia_aperea ENSCAPG00000012848
octodon_degus ENSODEG00000007576
chinchilla_lanigera ENSCLAG00000004788
dipodomys_ordii ENSDORG00000025447
castor_canadensis ENSCCNG00000022333
oryctolagus_cuniculus ENSOCUG00000005134
pan_troglodytes ENSPTRG00000048945
pan_paniscus ENSPPAG00000027451
gorilla_gorilla ENSGGOG00000012079
homo_sapiens ENSG00000162456
pongo_abelii ENSPPYG00000001393
nomascus_leucogenys ENSNLEG00000016455
macaca_nemestrina ENSMNEG00000027695
macaca_mulatta ENSMMUG00000044038
macaca_fascicularis ENSMFAG00000045471
mandrillus_leucophaeus ENSMLEG00000039554
papio_anubis ENSPANG00000004348
chlorocebus_sabaeus ENSCSAG00000001236
theropithecus_gelada ENSTGEG00000001134
cercocebus_atys ENSCATG00000031263
rhinopithecus_bieti ENSRBIG00000026528
rhinopithecus_roxellana ENSRROG00000036847
colobus_angolensis_palliatus ENSCANG00000040166
piliocolobus_tephrosceles ENSPTEG00000037580
saimiri_boliviensis_boliviensis ENSSBOG00000034951
callithrix_jacchus ENSCJAG00000021147
cebus_capucinus_imitator ENSCCAG00000022467
aotus_nancymaae ENSANAG00000036447
carlito_syrichta ENSTSYG00000034135
prolemur_simus ENSPSMG00000013375
microcebus_murinus ENSMICG00000037994
propithecus_coquereli ENSPCOG00000027106
otolemur_garnettii ENSOGAG00000031622
ursus_americanus ENSUAMG00000003790
ursus_maritimus ENSUMAG00000023562
ailuropoda_melanoleuca ENSAMEG00000014006
mustela_putorius_furo ENSMPUG00000012774
neovison_vison ENSNVIG00000019761
canis_lupus_dingo ENSCAFG00020015014
vulpes_vulpes ENSVVUG00000007079
panthera_tigris_altaica ENSPTIG00000005487
panthera_pardus ENSPPRG00000016007
felis_catus ENSFCAG00000040114
myotis_lucifugus ENSMLUG00000028209
capra_hircus ENSCHIG00000012933
ovis_aries ENSOARG00000002531
bos_mutus ENSBMUG00000018887
bos_taurus ENSBTAG00000030532
bison_bison_bison ENSBBBG00000003859
sus_scrofa ENSSSCG00000034300
equus_caballus ENSECAG00000028852
equus_asinus_asinus ENSEASG00005004894
loxodonta_africana ENSLAFG00000028805
dasypus_novemcinctus ENSDNOG00000034069
phascolarctos_cinereus ENSPCIG00000011530
sarcophilus_harrisii ENSSHAG00000016695
scophthalmus_maximus ENSSMAG00000000106
