gorilla_gorilla ENSGGOG00000014681
pan_paniscus ENSPPAG00000021094
pongo_abelii ENSPPYG00000011095
papio_anubis ENSPANG00000021101
theropithecus_gelada ENSTGEG00000018217
macaca_nemestrina ENSMNEG00000044459
macaca_fascicularis ENSMFAG00000037488
chlorocebus_sabaeus ENSCSAG00000014830
rhinopithecus_bieti ENSRBIG00000039303
saimiri_boliviensis_boliviensis ENSSBOG00000030040
pan_troglodytes ENSPTRG00000023339
homo_sapiens ENSG00000198185
nomascus_leucogenys ENSNLEG00000006888
mandrillus_leucophaeus ENSMLEG00000038557
cercocebus_atys ENSCATG00000043794
macaca_mulatta ENSMMUG00000007317
piliocolobus_tephrosceles ENSPTEG00000026155
colobus_angolensis_palliatus ENSCANG00000043796
rhinopithecus_roxellana ENSRROG00000035078
cebus_capucinus_imitator ENSCCAG00000037086
callithrix_jacchus ENSCJAG00000016964
aotus_nancymaae ENSANAG00000022531
otolemur_garnettii ENSOGAG00000012677
tursiops_truncatus ENSTTRG00000007061
castor_canadensis ENSCCNG00000023453
dipodomys_ordii ENSDORG00000014484
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012608
cricetulus_griseus_crigri_1.0 ENSCGRG00000010275
cricetulus_griseus_crigri-picr ENSCGRG00015020475
mesocricetus_auratus ENSMAUG00000011418
microtus_ochrogaster ENSMOCG00000008498
peromyscus_maniculatus_bairdii ENSPEMG00000009666
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000017667
mus_spicilegus ENSMSIG00000023168
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025606
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024686
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026128
rattus_norvegicus ENSRNOG00000019099
meriones_unguiculatus ENSMUGG00000006281
urocitellus_parryii ENSUPAG00010021546
spermophilus_dauricus ENSSDAG00000005950
marmota_marmota_marmota ENSMMMG00000006207
dasypus_novemcinctus ENSDNOG00000015993
