cricetulus_griseus_crigri-picr ENSCGRG00015019022
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001001712
cricetulus_griseus_crigri_1.0 ENSCGRG00000014491
mesocricetus_auratus ENSMAUG00000021917
peromyscus_maniculatus_bairdii ENSPEMG00000022775
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000052642
mus_spicilegus ENSMSIG00000022052
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017238
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016396
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017531
rattus_norvegicus ENSRNOG00000002845
meriones_unguiculatus ENSMUGG00000009894
nannospalax_galili ENSNGAG00000005735
jaculus_jaculus ENSJJAG00000013945
castor_canadensis ENSCCNG00000000198
fukomys_damarensis ENSFDAG00000004930
octodon_degus ENSODEG00000003965
cavia_porcellus ENSCPOG00000040321
cavia_aperea ENSCAPG00000009334
chinchilla_lanigera ENSCLAG00000005715
spermophilus_dauricus ENSSDAG00000009536
spermophilus_dauricus ENSSDAG00000009543
ictidomys_tridecemlineatus ENSSTOG00000034328
marmota_marmota_marmota ENSMMMG00000022398
oryctolagus_cuniculus ENSOCUG00000029291
oryctolagus_cuniculus ENSOCUG00000029217
macaca_mulatta ENSMMUG00000039909
macaca_fascicularis ENSMFAG00000040566
macaca_nemestrina ENSMNEG00000022487
cercocebus_atys ENSCATG00000035289
papio_anubis ENSPANG00000006482
theropithecus_gelada ENSTGEG00000019985
piliocolobus_tephrosceles ENSPTEG00000013514
capra_hircus ENSCHIG00000021690
ovis_aries ENSOARG00000008107
bison_bison_bison ENSBBBG00000005878
bos_mutus ENSBMUG00000003845
bos_taurus ENSBTAG00000024809
sus_scrofa ENSSSCG00000033119
myotis_lucifugus ENSMLUG00000027552
vulpes_vulpes ENSVVUG00000005725
canis_lupus_dingo ENSCAFG00020000797
ailuropoda_melanoleuca ENSAMEG00000007689
ursus_maritimus ENSUMAG00000009614
mustela_putorius_furo ENSMPUG00000015911
neovison_vison ENSNVIG00000004077
panthera_tigris_altaica ENSPTIG00000020848
felis_catus ENSFCAG00000032674
panthera_pardus ENSPPRG00000015503
dasypus_novemcinctus ENSDNOG00000045549
loxodonta_africana ENSLAFG00000032664
