cyanistes_caeruleus ENSCCEG00000007110
parus_major ENSPMJG00000004260
zonotrichia_albicollis ENSZALG00000007267
lonchura_striata_domestica ENSLSDG00000011816
lonchura_striata_domestica ENSLSDG00000011814
dromaius_novaehollandiae ENSDNVG00000003250
bos_taurus ENSBTAG00000054006
anabas_testudineus ENSATEG00000010454
anabas_testudineus ENSATEG00000010478
petromyzon_marinus ENSPMAG00000001704
oryzias_melastigma ENSOMEG00000018839
oryzias_latipes_asm223469v1 ENSORLG00015011631
poecilia_latipinna ENSPLAG00000006436
acanthochromis_polyacanthus ENSAPOG00000006978
stegastes_partitus ENSSPAG00000009593
haplochromis_burtoni ENSHBUG00000016876
pundamilia_nyererei ENSPNYG00000009368
astatotilapia_calliptera ENSACLG00000010987
maylandia_zebra ENSMZEG00005000127
neolamprologus_brichardi ENSNBRG00000004731
labrus_bergylta ENSLBEG00000002301
labrus_bergylta ENSLBEG00000008908
seriola_lalandi_dorsalis ENSSLDG00000000770
gadus_morhua ENSGMOG00000007584
amphilophus_citrinellus ENSACIG00000012961
stegastes_partitus ENSSPAG00000013625
mola_mola ENSMMOG00000011706
seriola_lalandi_dorsalis ENSSLDG00000013864
pygocentrus_nattereri ENSPNAG00000028626
tupaia_belangeri ENSTBEG00000006919
sorex_araneus ENSSARG00000005756
procavia_capensis ENSPCAG00000015848
eptatretus_burgeri ENSEBUG00000013203
poecilia_reticulata ENSPREG00000006307
poecilia_formosa ENSPFOG00000003852
xiphophorus_maculatus ENSXMAG00000014539
xiphophorus_couchianus ENSXCOG00000008925
poecilia_latipinna ENSPLAG00000016003
poecilia_mexicana ENSPMEG00000017978
fundulus_heteroclitus ENSFHEG00000019866
cyprinodon_variegatus ENSCVAG00000018738
oryzias_latipes_asm223471v1 ENSORLG00020019283
oreochromis_niloticus ENSONIG00000004982
astatotilapia_calliptera ENSACLG00000018170
neolamprologus_brichardi ENSNBRG00000001066
amphiprion_ocellaris ENSAOCG00000007547
acanthochromis_polyacanthus ENSAPOG00000022775
stegastes_partitus ENSSPAG00000023423
monopterus_albus ENSMALG00000017962
mastacembelus_armatus ENSMAMG00000009923
pundamilia_nyererei ENSPNYG00000015626
maylandia_zebra ENSMZEG00005024227
amphilophus_citrinellus ENSACIG00000018559
amphiprion_percula ENSAPEG00000014400
scophthalmus_maximus ENSSMAG00000001502
cynoglossus_semilaevis ENSCSEG00000000788
seriola_lalandi_dorsalis ENSSLDG00000003998
seriola_dumerili ENSSDUG00000015180
tetraodon_nigroviridis ENSTNIG00000005503
takifugu_rubripes ENSTRUG00000010428
mola_mola ENSMMOG00000014401
gadus_morhua ENSGMOG00000019664
esox_lucius ENSELUG00000012911
danio_rerio ENSDARG00000052061
scleropages_formosus ENSSFOG00015019474
chlorocebus_sabaeus ENSCSAG00000008885
petromyzon_marinus ENSPMAG00000005744
caenorhabditis_elegans_strain_n2 WBGene00002280
xiphophorus_maculatus ENSXMAG00000015586
xiphophorus_couchianus ENSXCOG00000002004
poecilia_reticulata ENSPREG00000003152
poecilia_latipinna ENSPLAG00000019113
neolamprologus_brichardi ENSNBRG00000016792
anabas_testudineus ENSATEG00000012861
labrus_bergylta ENSLBEG00000021910
scophthalmus_maximus ENSSMAG00000000691
ciona_intestinalis ENSCING00000006339
kryptolebias_marmoratus ENSKMAG00000020961
taeniopygia_guttata ENSTGUG00000016457
petromyzon_marinus ENSPMAG00000004527
xiphophorus_maculatus ENSXMAG00000013932
poecilia_reticulata ENSPREG00000011674
poecilia_reticulata ENSPREG00000018510
maylandia_zebra ENSMZEG00005019936
seriola_dumerili ENSSDUG00000018407
scophthalmus_maximus ENSSMAG00000006922
amphilophus_citrinellus ENSACIG00000020760
hippocampus_comes ENSHCOG00000013574
nothoprocta_perdicaria ENSNPEG00000013112
pelodiscus_sinensis ENSPSIG00000013250
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031923
eptatretus_burgeri ENSEBUG00000015700
eptatretus_burgeri ENSEBUG00000014379
mastacembelus_armatus ENSMAMG00000003581
manacus_vitellinus ENSMVIG00005012020
zonotrichia_albicollis ENSZALG00000017314
gallus_gallus ENSGALG00000051085
calidris_pygmaea ENSCPGG00000004871
latimeria_chalumnae ENSLACG00000007097
caenorhabditis_elegans_strain_n2 WBGene00000651
