anabas_testudineus ENSATEG00000021711
mola_mola ENSMMOG00000016155
oryzias_latipes_asm223471v1 ENSORLG00020012038
oryzias_latipes_asm223469v1 ENSORLG00015008678
oryzias_latipes_asm223467v1 ENSORLG00000024126
oryzias_melastigma ENSOMEG00000000148
gambusia_affinis ENSGAFG00000004232
xiphophorus_maculatus ENSXMAG00000028132
poecilia_latipinna ENSPLAG00000010613
cyprinodon_variegatus ENSCVAG00000007366
amphiprion_percula ENSAPEG00000004053
amphiprion_ocellaris ENSAOCG00000000704
acanthochromis_polyacanthus ENSAPOG00000001807
stegastes_partitus ENSSPAG00000016835
haplochromis_burtoni ENSHBUG00000019079
astatotilapia_calliptera ENSACLG00000022980
pundamilia_nyererei ENSPNYG00000013369
maylandia_zebra ENSMZEG00005013265
neolamprologus_brichardi ENSNBRG00000009490
amphilophus_citrinellus ENSACIG00000002650
labrus_bergylta ENSLBEG00000015386
seriola_dumerili ENSSDUG00000003253
seriola_lalandi_dorsalis ENSSLDG00000009523
hippocampus_comes ENSHCOG00000012657
esox_lucius ENSELUG00000011385
