monopterus_albus ENSMALG00000011760
mastacembelus_armatus ENSMAMG00000011832
anabas_testudineus ENSATEG00000022932
seriola_dumerili ENSSDUG00000008849
seriola_lalandi_dorsalis ENSSLDG00000025381
scophthalmus_maximus ENSSMAG00000006927
cyprinodon_variegatus ENSCVAG00000016900
cyprinodon_variegatus ENSCVAG00000008918
fundulus_heteroclitus ENSFHEG00000003304
fundulus_heteroclitus ENSFHEG00000003294
xiphophorus_maculatus ENSXMAG00000029147
xiphophorus_couchianus ENSXCOG00000015252
gambusia_affinis ENSGAFG00000017537
poecilia_mexicana ENSPMEG00000011031
poecilia_latipinna ENSPLAG00000018098
poecilia_reticulata ENSPREG00000022963
kryptolebias_marmoratus ENSKMAG00000021501
oryzias_latipes_asm223467v1 ENSORLG00000022836
oryzias_latipes_asm223467v1 ENSORLG00000029741
oryzias_latipes_asm223469v1 ENSORLG00015002437
oryzias_latipes_asm223469v1 ENSORLG00015002404
oryzias_latipes_asm223471v1 ENSORLG00020002008
oryzias_melastigma ENSOMEG00000023872
maylandia_zebra ENSMZEG00005019076
haplochromis_burtoni ENSHBUG00000000410
pundamilia_nyererei ENSPNYG00000001781
astatotilapia_calliptera ENSACLG00000009197
neolamprologus_brichardi ENSNBRG00000003950
oreochromis_niloticus ENSONIG00000006497
amphilophus_citrinellus ENSACIG00000020875
amphiprion_ocellaris ENSAOCG00000023242
amphiprion_percula ENSAPEG00000009215
acanthochromis_polyacanthus ENSAPOG00000013522
stegastes_partitus ENSSPAG00000014795
hippocampus_comes ENSHCOG00000011516
labrus_bergylta ENSLBEG00000015854
periophthalmus_magnuspinnatus ENSPMGG00000006085
