mus_spicilegus ENSMSIG00000022743
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000110332
meriones_unguiculatus ENSMUGG00000014982
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012263
peromyscus_maniculatus_bairdii ENSPEMG00000026446
castor_canadensis ENSCCNG00000000255
urocitellus_parryii ENSUPAG00010014093
marmota_marmota_marmota ENSMMMG00000012935
spermophilus_dauricus ENSSDAG00000010794
theropithecus_gelada ENSTGEG00000020708
piliocolobus_tephrosceles ENSPTEG00000019726
gorilla_gorilla ENSGGOG00000037829
homo_sapiens ENSG00000277639
callithrix_jacchus ENSCJAG00000039847
prolemur_simus ENSPSMG00000007669
felis_catus ENSFCAG00000045813
panthera_tigris_altaica ENSPTIG00000002739
neovison_vison ENSNVIG00000018148
bos_mutus ENSBMUG00000010713
bison_bison_bison ENSBBBG00000016272
