ochotona_princeps ENSOPRG00000018785
oryctolagus_cuniculus ENSOCUG00000022578
spermophilus_dauricus ENSSDAG00000009705
urocitellus_parryii ENSUPAG00010018904
pongo_abelii ENSPPYG00000011267
bos_mutus ENSBMUG00000015341
bos_taurus ENSBTAG00000048009
bison_bison_bison ENSBBBG00000009905
capra_hircus ENSCHIG00000014411
ovis_aries ENSOARG00000000335
vicugna_pacos ENSVPAG00000004065
sus_scrofa ENSSSCG00000030743
equus_asinus_asinus ENSEASG00005003644
equus_caballus ENSECAG00000001063
vulpes_vulpes ENSVVUG00000008355
canis_lupus_dingo ENSCAFG00020004143
ailuropoda_melanoleuca ENSAMEG00000018785
ursus_americanus ENSUAMG00000023518
