theropithecus_gelada ENSTGEG00000011061
piliocolobus_tephrosceles ENSPTEG00000008987
prolemur_simus ENSPSMG00000001361
marmota_marmota_marmota ENSMMMG00000021488
spermophilus_dauricus ENSSDAG00000004872
urocitellus_parryii ENSUPAG00010004878
rattus_norvegicus ENSRNOG00000034129
mus_spicilegus ENSMSIG00000013506
meriones_unguiculatus ENSMUGG00000008898
cricetulus_griseus_crigri_1.0 ENSCGRG00000008415
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019550
mesocricetus_auratus ENSMAUG00000021823
microtus_ochrogaster ENSMOCG00000013516
ursus_americanus ENSUAMG00000017289
neovison_vison ENSNVIG00000018247
canis_lupus_dingo ENSCAFG00020004821
vulpes_vulpes ENSVVUG00000018366
panthera_tigris_altaica ENSPTIG00000013847
panthera_pardus ENSPPRG00000002912
felis_catus ENSFCAG00000045815
bos_taurus ENSBTAG00000051049
capra_hircus ENSCHIG00000022937
equus_asinus_asinus ENSEASG00005006788
equus_caballus ENSECAG00000032630
