heterocephalus_glaber_hetgla_1.0 ENSHGLG00100019398
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001445
fukomys_damarensis ENSFDAG00000008675
cavia_aperea ENSCAPG00000012048
cavia_aperea ENSCAPG00000015292
cavia_porcellus ENSCPOG00000009841
chinchilla_lanigera ENSCLAG00000003157
chinchilla_lanigera ENSCLAG00000003237
marmota_marmota_marmota ENSMMMG00000013577
urocitellus_parryii ENSUPAG00010018582
ictidomys_tridecemlineatus ENSSTOG00000005421
spermophilus_dauricus ENSSDAG00000010301
castor_canadensis ENSCCNG00000023873
dipodomys_ordii ENSDORG00000000408
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000029752
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029092
mus_spicilegus ENSMSIG00000008999
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028092
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021848
rattus_norvegicus ENSRNOG00000007546
meriones_unguiculatus ENSMUGG00000001815
peromyscus_maniculatus_bairdii ENSPEMG00000024254
microtus_ochrogaster ENSMOCG00000011530
cricetulus_griseus_crigri-picr ENSCGRG00015025770
cricetulus_griseus_crigri_1.0 ENSCGRG00000011278
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001015428
mesocricetus_auratus ENSMAUG00000004155
nannospalax_galili ENSNGAG00000015284
jaculus_jaculus ENSJJAG00000011697
oryctolagus_cuniculus ENSOCUG00000022945
tupaia_belangeri ENSTBEG00000008640
pan_paniscus ENSPPAG00000042909
pan_troglodytes ENSPTRG00000048846
gorilla_gorilla ENSGGOG00000042105
pongo_abelii ENSPPYG00000008999
pan_troglodytes ENSPTRG00000019429
pan_troglodytes ENSPTRG00000043847
pan_paniscus ENSPPAG00000033201
homo_sapiens ENSG00000070669
gorilla_gorilla ENSGGOG00000005662
pongo_abelii ENSPPYG00000017790
nomascus_leucogenys ENSNLEG00000016044
macaca_nemestrina ENSMNEG00000043217
macaca_mulatta ENSMMUG00000019157
macaca_fascicularis ENSMFAG00000041092
theropithecus_gelada ENSTGEG00000025753
cercocebus_atys ENSCATG00000038317
mandrillus_leucophaeus ENSMLEG00000028862
papio_anubis ENSPANG00000020860
chlorocebus_sabaeus ENSCSAG00000013037
colobus_angolensis_palliatus ENSCANG00000016429
piliocolobus_tephrosceles ENSPTEG00000033307
rhinopithecus_bieti ENSRBIG00000034312
rhinopithecus_roxellana ENSRROG00000028782
saimiri_boliviensis_boliviensis ENSSBOG00000031816
callithrix_jacchus ENSCJAG00000000618
aotus_nancymaae ENSANAG00000030964
aotus_nancymaae ENSANAG00000026675
carlito_syrichta ENSTSYG00000000957
prolemur_simus ENSPSMG00000008375
microcebus_murinus ENSMICG00000016357
propithecus_coquereli ENSPCOG00000025256
propithecus_coquereli ENSPCOG00000000755
otolemur_garnettii ENSOGAG00000002404
procavia_capensis ENSPCAG00000000933
sorex_araneus ENSSARG00000008236
erinaceus_europaeus ENSEEUG00000012772
capra_hircus ENSCHIG00000013950
ovis_aries ENSOARG00000004686
capra_hircus ENSCHIG00000019226
bos_taurus ENSBTAG00000003222
bos_mutus ENSBMUG00000022622
bison_bison_bison ENSBBBG00000005315
tursiops_truncatus ENSTTRG00000003498
