octodon_degus ENSODEG00000010954
chinchilla_lanigera ENSCLAG00000005580
cavia_aperea ENSCAPG00000013772
cavia_porcellus ENSCPOG00000040605
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100010547
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000016718
microtus_ochrogaster ENSMOCG00000016218
nannospalax_galili ENSNGAG00000022872
jaculus_jaculus ENSJJAG00000022354
dipodomys_ordii ENSDORG00000027747
ictidomys_tridecemlineatus ENSSTOG00000028370
anolis_carolinensis ENSACAG00000009122
coturnix_japonica ENSCJPG00005010638
oryzias_latipes_asm223469v1 ENSORLG00015004726
xiphophorus_couchianus ENSXCOG00000006668
neolamprologus_brichardi ENSNBRG00000002798
gasterosteus_aculeatus ENSGACG00000014329
gadus_morhua ENSGMOG00000018979
ictalurus_punctatus ENSIPUG00000010774
