piliocolobus_tephrosceles ENSPTEG00000009214
colobus_angolensis_palliatus ENSCANG00000009418
rhinopithecus_bieti ENSRBIG00000027460
pan_troglodytes ENSPTRG00000049784
homo_sapiens ENSG00000284713
gorilla_gorilla ENSGGOG00000038283
theropithecus_gelada ENSTGEG00000001064
papio_anubis ENSPANG00000032349
macaca_fascicularis ENSMFAG00000030795
callithrix_jacchus ENSCJAG00000044157
prolemur_simus ENSPSMG00000008440
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000109305
mus_spicilegus ENSMSIG00000029534
rattus_norvegicus ENSRNOG00000013373
meriones_unguiculatus ENSMUGG00000021125
cricetulus_griseus_crigri-picr ENSCGRG00015020819
mesocricetus_auratus ENSMAUG00000020083
peromyscus_maniculatus_bairdii ENSPEMG00000019158
microtus_ochrogaster ENSMOCG00000021239
castor_canadensis ENSCCNG00000013803
spermophilus_dauricus ENSSDAG00000005750
urocitellus_parryii ENSUPAG00010007115
