ictidomys_tridecemlineatus ENSSTOG00000030519
carlito_syrichta ENSTSYG00000025377
capra_hircus ENSCHIG00000000021
ovis_aries ENSOARG00000000021
bos_mutus ENSBMUG00000000022
bos_taurus ENSBTAG00000043564
bison_bison_bison ENSBBBG00000000022
vicugna_pacos ENSVPAG00000018148
sus_scrofa ENSSSCG00000018080
erinaceus_europaeus ENSEEUG00000023937
ailuropoda_melanoleuca ENSAMEG00000023441
ursus_maritimus ENSUMAG00000000021
neovison_vison ENSNVIG00000023828
canis_lupus_familiaris ENSCAFG00000022728
panthera_pardus ENSPPRG00000000021
felis_catus ENSFCAG00000032063
equus_caballus ENSECAG00000027679
chinchilla_lanigera ENSCLAG00000000021
cavia_porcellus ENSCPOG00000017418
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000000021
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100000021
fukomys_damarensis ENSFDAG00000000021
tupaia_belangeri ENSTBEG00000021330
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000064356
rattus_norvegicus ENSRNOG00000033299
meriones_unguiculatus ENSMUGG00000000022
cricetulus_griseus_crigri_1.0 ENSCGRG00000000021
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001000021
mesocricetus_auratus ENSMAUG00000000021
microtus_ochrogaster ENSMOCG00000000021
jaculus_jaculus ENSJJAG00000000021
oryctolagus_cuniculus ENSOCUG00000029101
ochotona_princeps ENSOPRG00000024309
propithecus_coquereli ENSPCOG00000000021
microcebus_murinus ENSMICG00000029115
pan_paniscus ENSPPAG00000000021
pan_troglodytes ENSPTRG00000042653
homo_sapiens ENSG00000228253
gorilla_gorilla ENSGGOG00000023589
macaca_fascicularis ENSMFAG00000046419
macaca_mulatta ENSMMUG00000028684
mandrillus_leucophaeus ENSMLEG00000000021
rhinopithecus_roxellana ENSRROG00000000021
dasypus_novemcinctus ENSDNOG00000037287
tursiops_truncatus ENSTTRG00000025395
monodelphis_domestica ENSMODG00000021577
ornithorhynchus_anatinus ENSOANG00000019373
