rhinopithecus_roxellana ENSRROG00000027315
rhinopithecus_bieti ENSRBIG00000021495
papio_anubis ENSPANG00000002731
mandrillus_leucophaeus ENSMLEG00000002642
cebus_capucinus_imitator ENSCCAG00000008119
pan_troglodytes ENSPTRG00000045131
aotus_nancymaae ENSANAG00000005930
oryctolagus_cuniculus ENSOCUG00000012951
panthera_pardus ENSPPRG00000020637
panthera_tigris_altaica ENSPTIG00000006489
felis_catus ENSFCAG00000042015
sus_scrofa ENSSSCG00000012120
prolemur_simus ENSPSMG00000014511
prolemur_simus ENSPSMG00000015182
propithecus_coquereli ENSPCOG00000008032
otolemur_garnettii ENSOGAG00000029864
tupaia_belangeri ENSTBEG00000008790
peromyscus_maniculatus_bairdii ENSPEMG00000027931
erinaceus_europaeus ENSEEUG00000008545
canis_lupus_dingo ENSCAFG00020001586
bos_taurus ENSBTAG00000034580
bos_mutus ENSBMUG00000012605
choloepus_hoffmanni ENSCHOG00000013378
mandrillus_leucophaeus ENSMLEG00000028406
marmota_marmota_marmota ENSMMMG00000024093
serinus_canaria ENSSCAG00000013413
xenopus_tropicalis ENSXETG00000005347
