rhinopithecus_bieti ENSRBIG00000033976
rhinopithecus_roxellana ENSRROG00000043466
colobus_angolensis_palliatus ENSCANG00000009337
piliocolobus_tephrosceles ENSPTEG00000001349
macaca_fascicularis ENSMFAG00000001871
macaca_nemestrina ENSMNEG00000037283
macaca_mulatta ENSMMUG00000016851
papio_anubis ENSPANG00000030177
cercocebus_atys ENSCATG00000036195
theropithecus_gelada ENSTGEG00000009832
mandrillus_leucophaeus ENSMLEG00000031976
pan_troglodytes ENSPTRG00000042677
pan_paniscus ENSPPAG00000039222
gorilla_gorilla ENSGGOG00000042804
pongo_abelii ENSPPYG00000011214
nomascus_leucogenys ENSNLEG00000031811
prolemur_simus ENSPSMG00000016742
peromyscus_maniculatus_bairdii ENSPEMG00000031188
cricetulus_griseus_crigri-picr ENSCGRG00015015861
bos_mutus ENSBMUG00000022435
bos_taurus ENSBTAG00000051754
bison_bison_bison ENSBBBG00000007619
sus_scrofa ENSSSCG00000040565
vulpes_vulpes ENSVVUG00000015436
canis_lupus_dingo ENSCAFG00020001006
ursus_americanus ENSUAMG00000012853
ursus_maritimus ENSUMAG00000022371
neovison_vison ENSNVIG00000020092
equus_caballus ENSECAG00000030764
equus_asinus_asinus ENSEASG00005023201
erinaceus_europaeus ENSEEUG00000010356
phascolarctos_cinereus ENSPCIG00000009708
