rhinopithecus_roxellana ENSRROG00000005219
colobus_angolensis_palliatus ENSCANG00000026652
piliocolobus_tephrosceles ENSPTEG00000022335
macaca_fascicularis ENSMFAG00000044746
macaca_mulatta ENSMMUG00000049228
mandrillus_leucophaeus ENSMLEG00000036080
nomascus_leucogenys ENSNLEG00000035439
aotus_nancymaae ENSANAG00000029740
cebus_capucinus_imitator ENSCCAG00000035762
carlito_syrichta ENSTSYG00000027562
propithecus_coquereli ENSPCOG00000013774
prolemur_simus ENSPSMG00000008113
panthera_pardus ENSPPRG00000010228
felis_catus ENSFCAG00000046046
