panthera_pardus ENSPPRG00000013015
erinaceus_europaeus ENSEEUG00000012149
mandrillus_leucophaeus ENSMLEG00000015682
numida_meleagris ENSNMEG00000009601
anas_platyrhynchos_platyrhynchos ENSAPLG00000008707
gopherus_agassizii ENSGAGG00000008945
chelonoidis_abingdonii ENSCABG00000021674
chrysemys_picta_bellii ENSCPBG00000020922
pelodiscus_sinensis ENSPSIG00000005559
crocodylus_porosus ENSCPRG00005015994
apteryx_owenii ENSAOWG00000016490
apteryx_haastii ENSAHAG00000014374
apteryx_rowi ENSARWG00000017405
dromaius_novaehollandiae ENSDNVG00000012790
nothoprocta_perdicaria ENSNPEG00000014626
lonchura_striata_domestica ENSLSDG00000007157
taeniopygia_guttata ENSTGUG00000007363
ficedula_albicollis ENSFALG00000013776
junco_hyemalis ENSJHYG00000005022
zonotrichia_albicollis ENSZALG00000008432
parus_major ENSPMJG00000017427
cyanistes_caeruleus ENSCCEG00000001563
manacus_vitellinus ENSMVIG00005015136
lepidothrix_coronata ENSLCOG00000012765
gallus_gallus ENSGALG00000004860
meleagris_gallopavo ENSMGAG00000004443
coturnix_japonica ENSCJPG00005001458
anser_brachyrhynchus ENSABRG00000015604
calidris_pygmaea ENSCPGG00000006579
calidris_pugnax ENSCPUG00000010594
melopsittacus_undulatus ENSMUNG00000008520
anolis_carolinensis ENSACAG00000004515
pogona_vitticeps ENSPVIG00000017851
notechis_scutatus ENSNSUG00000017893
salvator_merianae ENSSMRG00000008838
sphenodon_punctatus ENSSPUG00000003719
phascolarctos_cinereus ENSPCIG00000036183
notamacropus_eugenii ENSMEUG00000005023
sarcophilus_harrisii ENSSHAG00000017936
monodelphis_domestica ENSMODG00000004765
pan_troglodytes ENSPTRG00000008831
pan_paniscus ENSPPAG00000036409
homo_sapiens ENSG00000108551
gorilla_gorilla ENSGGOG00000011248
pongo_abelii ENSPPYG00000008032
nomascus_leucogenys ENSNLEG00000013574
papio_anubis ENSPANG00000023692
theropithecus_gelada ENSTGEG00000004762
cercocebus_atys ENSCATG00000033994
macaca_fascicularis ENSMFAG00000041730
macaca_mulatta ENSMMUG00000006493
macaca_nemestrina ENSMNEG00000028025
chlorocebus_sabaeus ENSCSAG00000008439
rhinopithecus_bieti ENSRBIG00000033090
rhinopithecus_roxellana ENSRROG00000034104
colobus_angolensis_palliatus ENSCANG00000038349
piliocolobus_tephrosceles ENSPTEG00000028950
cebus_capucinus_imitator ENSCCAG00000004062
callithrix_jacchus ENSCJAG00000043563
saimiri_boliviensis_boliviensis ENSSBOG00000033522
aotus_nancymaae ENSANAG00000029621
carlito_syrichta ENSTSYG00000035494
microcebus_murinus ENSMICG00000043370
propithecus_coquereli ENSPCOG00000021996
prolemur_simus ENSPSMG00000011573
otolemur_garnettii ENSOGAG00000001297
marmota_marmota_marmota ENSMMMG00000008374
canis_lupus_dingo ENSCAFG00020020907
canis_lupus_familiaris ENSCAFG00000018451
vulpes_vulpes ENSVVUG00000030139
ursus_americanus ENSUAMG00000005758
ursus_maritimus ENSUMAG00000005028
ailuropoda_melanoleuca ENSAMEG00000002311
mustela_putorius_furo ENSMPUG00000000021
neovison_vison ENSNVIG00000024892
panthera_tigris_altaica ENSPTIG00000019547
felis_catus ENSFCAG00000005700
equus_asinus_asinus ENSEASG00005017676
equus_caballus ENSECAG00000034300
sorex_araneus ENSSARG00000009374
peromyscus_maniculatus_bairdii ENSPEMG00000028470
microtus_ochrogaster ENSMOCG00000001870
cricetulus_griseus_crigri-picr ENSCGRG00015017656
cricetulus_griseus_crigri_1.0 ENSCGRG00000006052
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001022821
mesocricetus_auratus ENSMAUG00000020548
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000049892
mus_spicilegus ENSMSIG00000020140
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017283
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016448
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017578
rattus_norvegicus ENSRNOG00000003348
meriones_unguiculatus ENSMUGG00000009458
nannospalax_galili ENSNGAG00000012106
dipodomys_ordii ENSDORG00000024866
castor_canadensis ENSCCNG00000006395
jaculus_jaculus ENSJJAG00000021532
spermophilus_dauricus ENSSDAG00000022978
ictidomys_tridecemlineatus ENSSTOG00000025910
urocitellus_parryii ENSUPAG00010014622
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003389
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000006074
fukomys_damarensis ENSFDAG00000020804
cavia_porcellus ENSCPOG00000037369
octodon_degus ENSODEG00000006555
pteropus_vampyrus ENSPVAG00000005963
loxodonta_africana ENSLAFG00000012647
echinops_telfairi ENSETEG00000005822
chinchilla_lanigera ENSCLAG00000000078
capra_hircus ENSCHIG00000023608
ovis_aries ENSOARG00000001748
bos_taurus ENSBTAG00000020520
bos_mutus ENSBMUG00000016571
bison_bison_bison ENSBBBG00000001344
tursiops_truncatus ENSTTRG00000014907
sus_scrofa ENSSSCG00000034044
oryctolagus_cuniculus ENSOCUG00000014946
erinaceus_europaeus ENSEEUG00000006636
myotis_lucifugus ENSMLUG00000027937
ornithorhynchus_anatinus ENSOANG00000001260
xenopus_tropicalis ENSXETG00000005738
latimeria_chalumnae ENSLACG00000002463
hippocampus_comes ENSHCOG00000004382
serinus_canaria ENSSCAG00000008850
eptatretus_burgeri ENSEBUG00000005423
