labrus_bergylta ENSLBEG00000007021
gasterosteus_aculeatus ENSGACG00000014545
monopterus_albus ENSMALG00000010909
mastacembelus_armatus ENSMAMG00000017421
anabas_testudineus ENSATEG00000018595
scophthalmus_maximus ENSSMAG00000018281
cynoglossus_semilaevis ENSCSEG00000007919
seriola_dumerili ENSSDUG00000001523
seriola_lalandi_dorsalis ENSSLDG00000007232
fundulus_heteroclitus ENSFHEG00000023288
cyprinodon_variegatus ENSCVAG00000013117
xiphophorus_maculatus ENSXMAG00000011589
gambusia_affinis ENSGAFG00000006240
poecilia_mexicana ENSPMEG00000003574
poecilia_latipinna ENSPLAG00000002123
poecilia_formosa ENSPFOG00000013128
poecilia_reticulata ENSPREG00000002749
kryptolebias_marmoratus ENSKMAG00000007644
oryzias_latipes_asm223467v1 ENSORLG00000014822
oryzias_latipes_asm223469v1 ENSORLG00015017928
oryzias_latipes_asm223471v1 ENSORLG00020021484
oryzias_melastigma ENSOMEG00000002050
amphiprion_ocellaris ENSAOCG00000005102
amphiprion_percula ENSAPEG00000011002
acanthochromis_polyacanthus ENSAPOG00000000070
stegastes_partitus ENSSPAG00000015271
haplochromis_burtoni ENSHBUG00000018921
maylandia_zebra ENSMZEG00005019287
neolamprologus_brichardi ENSNBRG00000023444
pundamilia_nyererei ENSPNYG00000006940
astatotilapia_calliptera ENSACLG00000011415
oreochromis_niloticus ENSONIG00000002686
amphilophus_citrinellus ENSACIG00000008399
mola_mola ENSMMOG00000001926
hippocampus_comes ENSHCOG00000018549
periophthalmus_magnuspinnatus ENSPMGG00000019381
gadus_morhua ENSGMOG00000015695
esox_lucius ENSELUG00000011682
pygocentrus_nattereri ENSPNAG00000008368
astyanax_mexicanus ENSAMXG00000005253
ictalurus_punctatus ENSIPUG00000011654
danio_rerio ENSDARG00000042946
scleropages_formosus ENSSFOG00015002814
paramormyrops_kingsleyae ENSPKIG00000010275
lepisosteus_oculatus ENSLOCG00000008956
pogona_vitticeps ENSPVIG00000022529
anolis_carolinensis ENSACAG00000007111
salvator_merianae ENSSMRG00000018038
sphenodon_punctatus ENSSPUG00000015753
apteryx_haastii ENSAHAG00000009286
apteryx_rowi ENSARWG00000015826
apteryx_owenii ENSAOWG00000004650
dromaius_novaehollandiae ENSDNVG00000010310
nothoprocta_perdicaria ENSNPEG00000015664
calidris_pygmaea ENSCPGG00000013572
calidris_pugnax ENSCPUG00000011507
melopsittacus_undulatus ENSMUNG00000012227
lepidothrix_coronata ENSLCOG00000003526
manacus_vitellinus ENSMVIG00005008578
junco_hyemalis ENSJHYG00000002393
zonotrichia_albicollis ENSZALG00000003563
serinus_canaria ENSSCAG00000006621
taeniopygia_guttata ENSTGUG00000009700
taeniopygia_guttata ENSTGUG00000016950
lonchura_striata_domestica ENSLSDG00000017952
ficedula_albicollis ENSFALG00000012380
cyanistes_caeruleus ENSCCEG00000008604
parus_major ENSPMJG00000003572
anser_brachyrhynchus ENSABRG00000022460
anas_platyrhynchos_platyrhynchos ENSAPLG00000004631
gallus_gallus ENSGALG00000010889
meleagris_gallopavo ENSMGAG00000011548
coturnix_japonica ENSCJPG00005012422
numida_meleagris ENSNMEG00000022549
notechis_scutatus ENSNSUG00000002034
gopherus_agassizii ENSGAGG00000007632
chelonoidis_abingdonii ENSCABG00000016448
