amphiprion_percula ENSAPEG00000007115
amphiprion_ocellaris ENSAOCG00000001521
acanthochromis_polyacanthus ENSAPOG00000022612
acanthochromis_polyacanthus ENSAPOG00000022318
stegastes_partitus ENSSPAG00000008683
pundamilia_nyererei ENSPNYG00000012300
astatotilapia_calliptera ENSACLG00000000320
amphilophus_citrinellus ENSACIG00000011738
labrus_bergylta ENSLBEG00000015348
seriola_lalandi_dorsalis ENSSLDG00000021296
seriola_lalandi_dorsalis ENSSLDG00000009652
seriola_dumerili ENSSDUG00000000476
hippocampus_comes ENSHCOG00000001084
periophthalmus_magnuspinnatus ENSPMGG00000017914
xiphophorus_couchianus ENSXCOG00000016225
xiphophorus_maculatus ENSXMAG00000023492
poecilia_mexicana ENSPMEG00000006804
poecilia_latipinna ENSPLAG00000009755
poecilia_reticulata ENSPREG00000010594
fundulus_heteroclitus ENSFHEG00000016805
oryzias_latipes_asm223469v1 ENSORLG00015010502
oryzias_latipes_asm223471v1 ENSORLG00020020965
oryzias_latipes_asm223467v1 ENSORLG00000001758
oryzias_melastigma ENSOMEG00000005655
scophthalmus_maximus ENSSMAG00000014507
cynoglossus_semilaevis ENSCSEG00000020675
anabas_testudineus ENSATEG00000017537
