xiphophorus_couchianus ENSXCOG00000008282
poecilia_latipinna ENSPLAG00000022925
gambusia_affinis ENSGAFG00000013742
fundulus_heteroclitus ENSFHEG00000022420
maylandia_zebra ENSMZEG00005004807
astatotilapia_calliptera ENSACLG00000017859
pundamilia_nyererei ENSPNYG00000010680
neolamprologus_brichardi ENSNBRG00000012321
amphilophus_citrinellus ENSACIG00000005532
amphiprion_percula ENSAPEG00000003455
mola_mola ENSMMOG00000000100
takifugu_rubripes ENSTRUG00000025305
labrus_bergylta ENSLBEG00000021192
seriola_dumerili ENSSDUG00000022225
cercocebus_atys ENSCATG00000021632
macaca_mulatta ENSMMUG00000005988
