eptatretus_burgeri ENSEBUG00000001509
petromyzon_marinus ENSPMAG00000009085
tetraodon_nigroviridis ENSTNIG00000011504
takifugu_rubripes ENSTRUG00000020092
mola_mola ENSMMOG00000000594
gasterosteus_aculeatus ENSGACG00000008409
oryzias_latipes_asm223471v1 ENSORLG00020009978
oryzias_latipes_asm223467v1 ENSORLG00000013243
oryzias_latipes_asm223469v1 ENSORLG00015021007
oryzias_melastigma ENSOMEG00000022006
cyprinodon_variegatus ENSCVAG00000003158
seriola_dumerili ENSSDUG00000001957
seriola_lalandi_dorsalis ENSSLDG00000020770
scophthalmus_maximus ENSSMAG00000006901
anabas_testudineus ENSATEG00000005774
haplochromis_burtoni ENSHBUG00000000933
pundamilia_nyererei ENSPNYG00000019287
maylandia_zebra ENSMZEG00005006231
astatotilapia_calliptera ENSACLG00000012066
neolamprologus_brichardi ENSNBRG00000005777
oreochromis_niloticus ENSONIG00000015638
amphilophus_citrinellus ENSACIG00000016402
poecilia_mexicana ENSPMEG00000020632
poecilia_formosa ENSPFOG00000006533
poecilia_latipinna ENSPLAG00000017407
poecilia_reticulata ENSPREG00000020163
gambusia_affinis ENSGAFG00000010060
xiphophorus_maculatus ENSXMAG00000001279
fundulus_heteroclitus ENSFHEG00000005208
cyprinodon_variegatus ENSCVAG00000023312
amphiprion_ocellaris ENSAOCG00000005372
amphiprion_percula ENSAPEG00000001884
acanthochromis_polyacanthus ENSAPOG00000007465
monopterus_albus ENSMALG00000017390
mastacembelus_armatus ENSMAMG00000005267
stegastes_partitus ENSSPAG00000012997
hippocampus_comes ENSHCOG00000006373
cynoglossus_semilaevis ENSCSEG00000018282
kryptolebias_marmoratus ENSKMAG00000016956
labrus_bergylta ENSLBEG00000002550
periophthalmus_magnuspinnatus ENSPMGG00000000365
gadus_morhua ENSGMOG00000008179
esox_lucius ENSELUG00000007273
pygocentrus_nattereri ENSPNAG00000018941
astyanax_mexicanus ENSAMXG00000030892
ictalurus_punctatus ENSIPUG00000022685
danio_rerio ENSDARG00000033140
labrus_bergylta ENSLBEG00000002733
gasterosteus_aculeatus ENSGACG00000004894
haplochromis_burtoni ENSHBUG00000023264
astatotilapia_calliptera ENSACLG00000018683
pundamilia_nyererei ENSPNYG00000003863
maylandia_zebra ENSMZEG00005028079
neolamprologus_brichardi ENSNBRG00000004326
oreochromis_niloticus ENSONIG00000019714
amphilophus_citrinellus ENSACIG00000021296
kryptolebias_marmoratus ENSKMAG00000002107
cynoglossus_semilaevis ENSCSEG00000020425
amphiprion_ocellaris ENSAOCG00000002807
amphiprion_percula ENSAPEG00000020729
stegastes_partitus ENSSPAG00000015173
mola_mola ENSMMOG00000003531
seriola_dumerili ENSSDUG00000007525
seriola_lalandi_dorsalis ENSSLDG00000009991
scophthalmus_maximus ENSSMAG00000006467
monopterus_albus ENSMALG00000013890
mastacembelus_armatus ENSMAMG00000003353
anabas_testudineus ENSATEG00000007127
poecilia_formosa ENSPFOG00000017196
poecilia_mexicana ENSPMEG00000018451
poecilia_latipinna ENSPLAG00000001924
poecilia_reticulata ENSPREG00000020982
xiphophorus_maculatus ENSXMAG00000009685
xiphophorus_couchianus ENSXCOG00000001509
gambusia_affinis ENSGAFG00000008123
fundulus_heteroclitus ENSFHEG00000016842
cyprinodon_variegatus ENSCVAG00000002180
periophthalmus_magnuspinnatus ENSPMGG00000014214
gadus_morhua ENSGMOG00000009198
esox_lucius ENSELUG00000020313
astyanax_mexicanus ENSAMXG00000030899
pygocentrus_nattereri ENSPNAG00000013744
ictalurus_punctatus ENSIPUG00000000760
danio_rerio ENSDARG00000089529
paramormyrops_kingsleyae ENSPKIG00000004018
scleropages_formosus ENSSFOG00015004462
lepisosteus_oculatus ENSLOCG00000011526
notamacropus_eugenii ENSMEUG00000015674
phascolarctos_cinereus ENSPCIG00000026410
sarcophilus_harrisii ENSSHAG00000010688
monodelphis_domestica ENSMODG00000016577
octodon_degus ENSODEG00000012652
chinchilla_lanigera ENSCLAG00000016871
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100001067
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014790
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100006342
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014716
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000018848
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100008138
fukomys_damarensis ENSFDAG00000009075
cavia_aperea ENSCAPG00000011700
cavia_porcellus ENSCPOG00000038083
ochotona_princeps ENSOPRG00000002375
procavia_capensis ENSPCAG00000014934
echinops_telfairi ENSETEG00000005136
dasypus_novemcinctus ENSDNOG00000040575
panthera_pardus ENSPPRG00000004562
panthera_tigris_altaica ENSPTIG00000020182
felis_catus ENSFCAG00000033281
canis_lupus_dingo ENSCAFG00020001937
canis_lupus_familiaris ENSCAFG00000001046
vulpes_vulpes ENSVVUG00000003501
mustela_putorius_furo ENSMPUG00000016385
neovison_vison ENSNVIG00000000338
ailuropoda_melanoleuca ENSAMEG00000015602
erinaceus_europaeus ENSEEUG00000003541
