gorilla_gorilla ENSGGOG00000025750
homo_sapiens ENSG00000214642
pan_troglodytes ENSPTRG00000032456
pongo_abelii ENSPPYG00000016696
piliocolobus_tephrosceles ENSPTEG00000008593
colobus_angolensis_palliatus ENSCANG00000036633
rhinopithecus_bieti ENSRBIG00000038298
rhinopithecus_roxellana ENSRROG00000009879
macaca_fascicularis ENSMFAG00000002584
macaca_mulatta ENSMMUG00000029617
macaca_nemestrina ENSMNEG00000035185
cercocebus_atys ENSCATG00000031427
mandrillus_leucophaeus ENSMLEG00000036176
papio_anubis ENSPANG00000015184
theropithecus_gelada ENSTGEG00000000249
chlorocebus_sabaeus ENSCSAG00000012901
saimiri_boliviensis_boliviensis ENSSBOG00000035856
callithrix_jacchus ENSCJAG00000011605
cebus_capucinus_imitator ENSCCAG00000014271
aotus_nancymaae ENSANAG00000028898
carlito_syrichta ENSTSYG00000010222
prolemur_simus ENSPSMG00000015905
propithecus_coquereli ENSPCOG00000008487
microcebus_murinus ENSMICG00000032756
cavia_porcellus ENSCPOG00000026683
cavia_aperea ENSCAPG00000006069
chinchilla_lanigera ENSCLAG00000010106
fukomys_damarensis ENSFDAG00000008125
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0014782
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000073735
mus_spicilegus ENSMSIG00000027144
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0013977
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027227
rattus_norvegicus ENSRNOG00000039650
peromyscus_maniculatus_bairdii ENSPEMG00000027144
nannospalax_galili ENSNGAG00000009235
castor_canadensis ENSCCNG00000007384
oryctolagus_cuniculus ENSOCUG00000022579
ochotona_princeps ENSOPRG00000018262
myotis_lucifugus ENSMLUG00000025016
pteropus_vampyrus ENSPVAG00000004559
equus_caballus ENSECAG00000033376
equus_asinus_asinus ENSEASG00005004132
ursus_maritimus ENSUMAG00000004594
ursus_americanus ENSUAMG00000018876
ailuropoda_melanoleuca ENSAMEG00000008753
neovison_vison ENSNVIG00000004421
canis_lupus_dingo ENSCAFG00020012992
canis_lupus_familiaris ENSCAFG00000023077
vulpes_vulpes ENSVVUG00000029341
panthera_tigris_altaica ENSPTIG00000013601
panthera_pardus ENSPPRG00000024287
felis_catus ENSFCAG00000038240
bos_taurus ENSBTAG00000054396
bos_mutus ENSBMUG00000011799
bison_bison_bison ENSBBBG00000020001
ovis_aries ENSOARG00000012623
sus_scrofa ENSSSCG00000034490
vicugna_pacos ENSVPAG00000012126
dasypus_novemcinctus ENSDNOG00000024284
choloepus_hoffmanni ENSCHOG00000011177
loxodonta_africana ENSLAFG00000020991
