poecilia_formosa ENSPFOG00000017190
poecilia_latipinna ENSPLAG00000000817
poecilia_mexicana ENSPMEG00000009721
poecilia_reticulata ENSPREG00000017021
xiphophorus_couchianus ENSXCOG00000002441
xiphophorus_maculatus ENSXMAG00000012522
gambusia_affinis ENSGAFG00000016552
fundulus_heteroclitus ENSFHEG00000010147
cyprinodon_variegatus ENSCVAG00000013941
kryptolebias_marmoratus ENSKMAG00000006350
oryzias_latipes_asm223469v1 ENSORLG00015013707
oryzias_latipes_asm223467v1 ENSORLG00000004153
oryzias_latipes_asm223471v1 ENSORLG00020016099
oryzias_melastigma ENSOMEG00000005064
maylandia_zebra ENSMZEG00005000752
astatotilapia_calliptera ENSACLG00000002823
haplochromis_burtoni ENSHBUG00000000928
pundamilia_nyererei ENSPNYG00000001422
neolamprologus_brichardi ENSNBRG00000010312
oreochromis_niloticus ENSONIG00000007550
amphilophus_citrinellus ENSACIG00000011367
amphiprion_ocellaris ENSAOCG00000002848
amphiprion_percula ENSAPEG00000023525
acanthochromis_polyacanthus ENSAPOG00000012081
acanthochromis_polyacanthus ENSAPOG00000000631
acanthochromis_polyacanthus ENSAPOG00000018304
acanthochromis_polyacanthus ENSAPOG00000018585
stegastes_partitus ENSSPAG00000004740
takifugu_rubripes ENSTRUG00000021120
tetraodon_nigroviridis ENSTNIG00000003206
mola_mola ENSMMOG00000012034
labrus_bergylta ENSLBEG00000027961
gasterosteus_aculeatus ENSGACG00000019482
seriola_dumerili ENSSDUG00000010869
seriola_lalandi_dorsalis ENSSLDG00000013035
scophthalmus_maximus ENSSMAG00000010840
mastacembelus_armatus ENSMAMG00000004643
monopterus_albus ENSMALG00000003283
anabas_testudineus ENSATEG00000018104
cynoglossus_semilaevis ENSCSEG00000002789
periophthalmus_magnuspinnatus ENSPMGG00000015090
hippocampus_comes ENSHCOG00000005917
gadus_morhua ENSGMOG00000001541
esox_lucius ENSELUG00000009825
pygocentrus_nattereri ENSPNAG00000029124
astyanax_mexicanus ENSAMXG00000041774
ictalurus_punctatus ENSIPUG00000012365
paramormyrops_kingsleyae ENSPKIG00000006264
lepisosteus_oculatus ENSLOCG00000012567
phascolarctos_cinereus ENSPCIG00000033586
notamacropus_eugenii ENSMEUG00000008505
monodelphis_domestica ENSMODG00000003829
loxodonta_africana ENSLAFG00000013860
procavia_capensis ENSPCAG00000015491
echinops_telfairi ENSETEG00000010470
castor_canadensis ENSCCNG00000015947
dipodomys_ordii ENSDORG00000015411
mus_spicilegus ENSMSIG00000016072
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027122
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000043753
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026158
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028495
rattus_norvegicus ENSRNOG00000024093
meriones_unguiculatus ENSMUGG00000014874
cricetulus_griseus_crigri-picr ENSCGRG00015016990
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014289
cricetulus_griseus_crigri_1.0 ENSCGRG00000008049
mesocricetus_auratus ENSMAUG00000004332
peromyscus_maniculatus_bairdii ENSPEMG00000008771
microtus_ochrogaster ENSMOCG00000002337
nannospalax_galili ENSNGAG00000023922
jaculus_jaculus ENSJJAG00000015837
chinchilla_lanigera ENSCLAG00000004081
octodon_degus ENSODEG00000003392
cavia_porcellus ENSCPOG00000036480
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007114
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005023
fukomys_damarensis ENSFDAG00000005854
ictidomys_tridecemlineatus ENSSTOG00000022459
urocitellus_parryii ENSUPAG00010017830
marmota_marmota_marmota ENSMMMG00000009543
oryctolagus_cuniculus ENSOCUG00000006069
ochotona_princeps ENSOPRG00000013060
tupaia_belangeri ENSTBEG00000015360
pan_troglodytes ENSPTRG00000050201
pan_paniscus ENSPPAG00000031441
homo_sapiens ENSG00000176399
gorilla_gorilla ENSGGOG00000009094
pongo_abelii ENSPPYG00000019167
nomascus_leucogenys ENSNLEG00000035351
papio_anubis ENSPANG00000029682
cercocebus_atys ENSCATG00000034725
theropithecus_gelada ENSTGEG00000012852
mandrillus_leucophaeus ENSMLEG00000027732
macaca_fascicularis ENSMFAG00000001592
macaca_nemestrina ENSMNEG00000029016
chlorocebus_sabaeus ENSCSAG00000009709
piliocolobus_tephrosceles ENSPTEG00000014411
colobus_angolensis_palliatus ENSCANG00000028426
rhinopithecus_bieti ENSRBIG00000034841
rhinopithecus_roxellana ENSRROG00000034145
cebus_capucinus_imitator ENSCCAG00000027494
callithrix_jacchus ENSCJAG00000008059
saimiri_boliviensis_boliviensis ENSSBOG00000020210
aotus_nancymaae ENSANAG00000021248
carlito_syrichta ENSTSYG00000011375
prolemur_simus ENSPSMG00000011495
microcebus_murinus ENSMICG00000046386
propithecus_coquereli ENSPCOG00000021875
otolemur_garnettii ENSOGAG00000012178
pteropus_vampyrus ENSPVAG00000011810
myotis_lucifugus ENSMLUG00000013312
erinaceus_europaeus ENSEEUG00000010425
sorex_araneus ENSSARG00000007336
capra_hircus ENSCHIG00000023134
ovis_aries ENSOARG00000014437
bos_mutus ENSBMUG00000011546
bos_taurus ENSBTAG00000001315
bison_bison_bison ENSBBBG00000018078
tursiops_truncatus ENSTTRG00000015206
sus_scrofa ENSSSCG00000005131
vicugna_pacos ENSVPAG00000009303
equus_caballus ENSECAG00000019138
equus_asinus_asinus ENSEASG00005004698
ursus_americanus ENSUAMG00000009085
ursus_maritimus ENSUMAG00000005623
ailuropoda_melanoleuca ENSAMEG00000007553
neovison_vison ENSNVIG00000012357
mustela_putorius_furo ENSMPUG00000015969
canis_lupus_dingo ENSCAFG00020013824
canis_lupus_familiaris ENSCAFG00000001681
vulpes_vulpes ENSVVUG00000008072
panthera_pardus ENSPPRG00000018624
panthera_tigris_altaica ENSPTIG00000008302
felis_catus ENSFCAG00000014743
dasypus_novemcinctus ENSDNOG00000036462
choloepus_hoffmanni ENSCHOG00000000826
ornithorhynchus_anatinus ENSOANG00000002763
salvator_merianae ENSSMRG00000020934
anolis_carolinensis ENSACAG00000017537
sphenodon_punctatus ENSSPUG00000000741
chelonoidis_abingdonii ENSCABG00000000988
gopherus_agassizii ENSGAGG00000025519
pelodiscus_sinensis ENSPSIG00000000181
xenopus_tropicalis ENSXETG00000005462
latimeria_chalumnae ENSLACG00000009724
