ochotona_princeps ENSOPRG00000003673
myotis_lucifugus ENSMLUG00000014514
procavia_capensis ENSPCAG00000011654
castor_canadensis ENSCCNG00000001177
dipodomys_ordii ENSDORG00000014252
urocitellus_parryii ENSUPAG00010011462
spermophilus_dauricus ENSSDAG00000022671
marmota_marmota_marmota ENSMMMG00000020540
fukomys_damarensis ENSFDAG00000005159
gorilla_gorilla ENSGGOG00000000689
homo_sapiens ENSG00000189298
pan_paniscus ENSPPAG00000038485
pan_troglodytes ENSPTRG00000017875
pongo_abelii ENSPPYG00000016371
nomascus_leucogenys ENSNLEG00000004558
papio_anubis ENSPANG00000008440
mandrillus_leucophaeus ENSMLEG00000037727
theropithecus_gelada ENSTGEG00000003590
cercocebus_atys ENSCATG00000027380
macaca_fascicularis ENSMFAG00000040669
macaca_mulatta ENSMMUG00000018054
macaca_nemestrina ENSMNEG00000031825
chlorocebus_sabaeus ENSCSAG00000008016
rhinopithecus_roxellana ENSRROG00000041849
rhinopithecus_bieti ENSRBIG00000042938
piliocolobus_tephrosceles ENSPTEG00000036467
colobus_angolensis_palliatus ENSCANG00000023127
cebus_capucinus_imitator ENSCCAG00000035145
saimiri_boliviensis_boliviensis ENSSBOG00000018831
callithrix_jacchus ENSCJAG00000018623
aotus_nancymaae ENSANAG00000026638
carlito_syrichta ENSTSYG00000004748
microcebus_murinus ENSMICG00000010491
propithecus_coquereli ENSPCOG00000014599
prolemur_simus ENSPSMG00000015823
otolemur_garnettii ENSOGAG00000006596
equus_caballus ENSECAG00000013024
equus_asinus_asinus ENSEASG00005012106
loxodonta_africana ENSLAFG00000014091
oryctolagus_cuniculus ENSOCUG00000016809
choloepus_hoffmanni ENSCHOG00000012193
dasypus_novemcinctus ENSDNOG00000033262
