astyanax_mexicanus ENSAMXG00000017209
pygocentrus_nattereri ENSPNAG00000021967
ictalurus_punctatus ENSIPUG00000022726
danio_rerio ENSDARG00000025220
tetraodon_nigroviridis ENSTNIG00000009125
takifugu_rubripes ENSTRUG00000003509
hippocampus_comes ENSHCOG00000003473
mola_mola ENSMMOG00000021343
gasterosteus_aculeatus ENSGACG00000017249
labrus_bergylta ENSLBEG00000023149
amphiprion_percula ENSAPEG00000008625
amphiprion_ocellaris ENSAOCG00000006453
acanthochromis_polyacanthus ENSAPOG00000012677
stegastes_partitus ENSSPAG00000003282
astatotilapia_calliptera ENSACLG00000019011
maylandia_zebra ENSMZEG00005018067
pundamilia_nyererei ENSPNYG00000011530
haplochromis_burtoni ENSHBUG00000021981
neolamprologus_brichardi ENSNBRG00000000580
oreochromis_niloticus ENSONIG00000003629
amphilophus_citrinellus ENSACIG00000019214
xiphophorus_maculatus ENSXMAG00000003712
xiphophorus_couchianus ENSXCOG00000005170
gambusia_affinis ENSGAFG00000008017
poecilia_mexicana ENSPMEG00000016375
poecilia_reticulata ENSPREG00000010106
poecilia_formosa ENSPFOG00000019722
poecilia_latipinna ENSPLAG00000001098
cyprinodon_variegatus ENSCVAG00000007048
fundulus_heteroclitus ENSFHEG00000022459
kryptolebias_marmoratus ENSKMAG00000010036
oryzias_latipes_asm223469v1 ENSORLG00015002302
oryzias_latipes_asm223471v1 ENSORLG00020014717
oryzias_latipes_asm223467v1 ENSORLG00000009658
oryzias_melastigma ENSOMEG00000001681
monopterus_albus ENSMALG00000016911
mastacembelus_armatus ENSMAMG00000009758
anabas_testudineus ENSATEG00000017660
seriola_lalandi_dorsalis ENSSLDG00000015998
seriola_dumerili ENSSDUG00000016643
scophthalmus_maximus ENSSMAG00000020304
cynoglossus_semilaevis ENSCSEG00000016646
periophthalmus_magnuspinnatus ENSPMGG00000006837
gadus_morhua ENSGMOG00000016150
esox_lucius ENSELUG00000018945
paramormyrops_kingsleyae ENSPKIG00000018000
scleropages_formosus ENSSFOG00015016118
paramormyrops_kingsleyae ENSPKIG00000020796
scleropages_formosus ENSSFOG00015010086
lepisosteus_oculatus ENSLOCG00000002863
anolis_carolinensis ENSACAG00000003264
pogona_vitticeps ENSPVIG00000010640
notechis_scutatus ENSNSUG00000019407
salvator_merianae ENSSMRG00000005670
anas_platyrhynchos_platyrhynchos ENSAPLG00000001664
anser_brachyrhynchus ENSABRG00000015919
gallus_gallus ENSGALG00000006979
meleagris_gallopavo ENSMGAG00000008591
coturnix_japonica ENSCJPG00005013306
numida_meleagris ENSNMEG00000022563
cyanistes_caeruleus ENSCCEG00000021612
parus_major ENSPMJG00000018010
ficedula_albicollis ENSFALG00000007509
lonchura_striata_domestica ENSLSDG00000000854
taeniopygia_guttata ENSTGUG00000009651
