chlorocebus_sabaeus ENSCSAG00000004882
cercocebus_atys ENSCATG00000032484
piliocolobus_tephrosceles ENSPTEG00000008706
pongo_abelii ENSPPYG00000014803
pan_troglodytes ENSPTRG00000016128
homo_sapiens ENSG00000109208
gorilla_gorilla ENSGGOG00000014408
nomascus_leucogenys ENSNLEG00000007682
rhinopithecus_bieti ENSRBIG00000041542
piliocolobus_tephrosceles ENSPTEG00000008659
cercocebus_atys ENSCATG00000029579
mandrillus_leucophaeus ENSMLEG00000033441
papio_anubis ENSPANG00000012553
theropithecus_gelada ENSTGEG00000016895
callithrix_jacchus ENSCJAG00000014305
cebus_capucinus_imitator ENSCCAG00000032893
aotus_nancymaae ENSANAG00000020706
