latimeria_chalumnae ENSLACG00000004481
xenopus_tropicalis ENSXETG00000001264
takifugu_rubripes ENSTRUG00000010544
tetraodon_nigroviridis ENSTNIG00000009116
mola_mola ENSMMOG00000021362
cynoglossus_semilaevis ENSCSEG00000001781
monopterus_albus ENSMALG00000017145
mastacembelus_armatus ENSMAMG00000010088
anabas_testudineus ENSATEG00000017194
seriola_dumerili ENSSDUG00000017057
seriola_lalandi_dorsalis ENSSLDG00000016409
scophthalmus_maximus ENSSMAG00000020385
labrus_bergylta ENSLBEG00000022695
gasterosteus_aculeatus ENSGACG00000017192
amphiprion_percula ENSAPEG00000009070
amphiprion_ocellaris ENSAOCG00000006853
acanthochromis_polyacanthus ENSAPOG00000021969
stegastes_partitus ENSSPAG00000000348
astatotilapia_calliptera ENSACLG00000018322
maylandia_zebra ENSMZEG00005018126
haplochromis_burtoni ENSHBUG00000021588
pundamilia_nyererei ENSPNYG00000010996
neolamprologus_brichardi ENSNBRG00000001029
oreochromis_niloticus ENSONIG00000003569
amphilophus_citrinellus ENSACIG00000018907
poecilia_formosa ENSPFOG00000019732
poecilia_mexicana ENSPMEG00000015854
poecilia_latipinna ENSPLAG00000022879
poecilia_reticulata ENSPREG00000010491
xiphophorus_maculatus ENSXMAG00000003033
gambusia_affinis ENSGAFG00000008115
fundulus_heteroclitus ENSFHEG00000001379
cyprinodon_variegatus ENSCVAG00000006456
kryptolebias_marmoratus ENSKMAG00000009581
oryzias_latipes_asm223467v1 ENSORLG00000009417
oryzias_latipes_asm223471v1 ENSORLG00020015233
oryzias_latipes_asm223469v1 ENSORLG00015002659
oryzias_melastigma ENSOMEG00000001781
periophthalmus_magnuspinnatus ENSPMGG00000006877
hippocampus_comes ENSHCOG00000004756
gadus_morhua ENSGMOG00000014596
esox_lucius ENSELUG00000019443
pygocentrus_nattereri ENSPNAG00000009679
astyanax_mexicanus ENSAMXG00000018477
ictalurus_punctatus ENSIPUG00000022932
danio_rerio ENSDARG00000067805
scleropages_formosus ENSSFOG00015016692
paramormyrops_kingsleyae ENSPKIG00000022863
lepisosteus_oculatus ENSLOCG00000015209
pogona_vitticeps ENSPVIG00000016172
anolis_carolinensis ENSACAG00000002161
notechis_scutatus ENSNSUG00000020303
salvator_merianae ENSSMRG00000016305
gopherus_agassizii ENSGAGG00000015984
chelonoidis_abingdonii ENSCABG00000012180
chrysemys_picta_bellii ENSCPBG00000023234
pelodiscus_sinensis ENSPSIG00000006744
ficedula_albicollis ENSFALG00000000106
parus_major ENSPMJG00000015590
lepidothrix_coronata ENSLCOG00000004190
calidris_pygmaea ENSCPGG00000010941
calidris_pugnax ENSCPUG00000011534
coturnix_japonica ENSCJPG00005011762
numida_meleagris ENSNMEG00000019900
anser_brachyrhynchus ENSABRG00000000701
anas_platyrhynchos_platyrhynchos ENSAPLG00000017930
gallus_gallus ENSGALG00000052348
cyanistes_caeruleus ENSCCEG00000002195
serinus_canaria ENSSCAG00000015821
junco_hyemalis ENSJHYG00000008647
apteryx_rowi ENSARWG00000010752
crocodylus_porosus ENSCPRG00005000222
choloepus_hoffmanni ENSCHOG00000003435
dasypus_novemcinctus ENSDNOG00000008326
propithecus_coquereli ENSPCOG00000017501
microcebus_murinus ENSMICG00000011475
prolemur_simus ENSPSMG00000023829
otolemur_garnettii ENSOGAG00000010470
gorilla_gorilla ENSGGOG00000004940
homo_sapiens ENSG00000115486
pan_paniscus ENSPPAG00000031307
pan_troglodytes ENSPTRG00000012135
pongo_abelii ENSPPYG00000012228
nomascus_leucogenys ENSNLEG00000001826
rhinopithecus_bieti ENSRBIG00000027641
rhinopithecus_roxellana ENSRROG00000037659
colobus_angolensis_palliatus ENSCANG00000032488
piliocolobus_tephrosceles ENSPTEG00000031832
mandrillus_leucophaeus ENSMLEG00000029112
cercocebus_atys ENSCATG00000035800
macaca_mulatta ENSMMUG00000004446
macaca_nemestrina ENSMNEG00000023012
macaca_fascicularis ENSMFAG00000045991
theropithecus_gelada ENSTGEG00000020653
papio_anubis ENSPANG00000020859
