astyanax_mexicanus ENSAMXG00000041988
pygocentrus_nattereri ENSPNAG00000026183
ictalurus_punctatus ENSIPUG00000019856
danio_rerio ENSDARG00000076836
poecilia_mexicana ENSPMEG00000009874
poecilia_mexicana ENSPMEG00000021358
poecilia_formosa ENSPFOG00000011098
poecilia_latipinna ENSPLAG00000013513
poecilia_reticulata ENSPREG00000012957
gambusia_affinis ENSGAFG00000008157
xiphophorus_maculatus ENSXMAG00000019267
cyprinodon_variegatus ENSCVAG00000000765
kryptolebias_marmoratus ENSKMAG00000007609
hippocampus_comes ENSHCOG00000001557
gasterosteus_aculeatus ENSGACG00000015373
scophthalmus_maximus ENSSMAG00000003799
anabas_testudineus ENSATEG00000016427
periophthalmus_magnuspinnatus ENSPMGG00000003259
seriola_dumerili ENSSDUG00000014872
seriola_lalandi_dorsalis ENSSLDG00000018726
labrus_bergylta ENSLBEG00000001971
monopterus_albus ENSMALG00000021734
mastacembelus_armatus ENSMAMG00000008923
mola_mola ENSMMOG00000010507
astatotilapia_calliptera ENSACLG00000003636
maylandia_zebra ENSMZEG00005000197
haplochromis_burtoni ENSHBUG00000020624
pundamilia_nyererei ENSPNYG00000005898
neolamprologus_brichardi ENSNBRG00000020610
oreochromis_niloticus ENSONIG00000010276
amphilophus_citrinellus ENSACIG00000017119
amphiprion_ocellaris ENSAOCG00000019199
amphiprion_percula ENSAPEG00000013353
acanthochromis_polyacanthus ENSAPOG00000024360
stegastes_partitus ENSSPAG00000002951
takifugu_rubripes ENSTRUG00000009426
tetraodon_nigroviridis ENSTNIG00000015343
cynoglossus_semilaevis ENSCSEG00000013657
gadus_morhua ENSGMOG00000003575
esox_lucius ENSELUG00000005917
poecilia_mexicana ENSPMEG00000008011
poecilia_latipinna ENSPLAG00000014459
poecilia_reticulata ENSPREG00000006468
fundulus_heteroclitus ENSFHEG00000022574
kryptolebias_marmoratus ENSKMAG00000001331
oryzias_latipes_asm223471v1 ENSORLG00020020728
