equus_asinus_asinus ENSEASG00005001700
equus_caballus ENSECAG00000017282
myotis_lucifugus ENSMLUG00000007722
ursus_maritimus ENSUMAG00000025511
ailuropoda_melanoleuca ENSAMEG00000011388
canis_lupus_familiaris ENSCAFG00000010614
canis_lupus_dingo ENSCAFG00020018893
vulpes_vulpes ENSVVUG00000024511
panthera_pardus ENSPPRG00000010297
panthera_tigris_altaica ENSPTIG00000016528
felis_catus ENSFCAG00000043141
pteropus_vampyrus ENSPVAG00000009965
ovis_aries ENSOARG00000011274
capra_hircus ENSCHIG00000005444
bison_bison_bison ENSBBBG00000014691
bos_taurus ENSBTAG00000017407
tursiops_truncatus ENSTTRG00000000722
sus_scrofa ENSSSCG00000022164
sus_scrofa ENSSSCG00000032445
oryctolagus_cuniculus ENSOCUG00000009621
jaculus_jaculus ENSJJAG00000011558
mustela_putorius_furo ENSMPUG00000009772
neovison_vison ENSNVIG00000006866
sorex_araneus ENSSARG00000012105
pan_troglodytes ENSPTRG00000013957
pan_paniscus ENSPPAG00000034999
homo_sapiens ENSG00000160207
gorilla_gorilla ENSGGOG00000012059
pongo_abelii ENSPPYG00000011469
nomascus_leucogenys ENSNLEG00000034577
rhinopithecus_bieti ENSRBIG00000038854
rhinopithecus_roxellana ENSRROG00000032823
colobus_angolensis_palliatus ENSCANG00000041259
macaca_mulatta ENSMMUG00000022791
macaca_fascicularis ENSMFAG00000041607
macaca_nemestrina ENSMNEG00000038532
cercocebus_atys ENSCATG00000041814
theropithecus_gelada ENSTGEG00000020224
papio_anubis ENSPANG00000023067
chlorocebus_sabaeus ENSCSAG00000007970
mandrillus_leucophaeus ENSMLEG00000042323
piliocolobus_tephrosceles ENSPTEG00000012852
cebus_capucinus_imitator ENSCCAG00000031814
callithrix_jacchus ENSCJAG00000017067
saimiri_boliviensis_boliviensis ENSSBOG00000031228
aotus_nancymaae ENSANAG00000037216
carlito_syrichta ENSTSYG00000001064
propithecus_coquereli ENSPCOG00000015138
prolemur_simus ENSPSMG00000000840
microcebus_murinus ENSMICG00000004680
otolemur_garnettii ENSOGAG00000009866
tupaia_belangeri ENSTBEG00000000230
chinchilla_lanigera ENSCLAG00000006525
octodon_degus ENSODEG00000011763
cavia_porcellus ENSCPOG00000002394
cavia_aperea ENSCAPG00000016625
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000008796
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005261
fukomys_damarensis ENSFDAG00000013948
urocitellus_parryii ENSUPAG00010003260
spermophilus_dauricus ENSSDAG00000015624
ictidomys_tridecemlineatus ENSSTOG00000011783
marmota_marmota_marmota ENSMMMG00000011193
castor_canadensis ENSCCNG00000021016
dipodomys_ordii ENSDORG00000005493
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022289
mus_spicilegus ENSMSIG00000012149
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000002076
rattus_norvegicus ENSRNOG00000001193
meriones_unguiculatus ENSMUGG00000007837
peromyscus_maniculatus_bairdii ENSPEMG00000021638
microtus_ochrogaster ENSMOCG00000006152
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001021534
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001003985
cricetulus_griseus_crigri_1.0 ENSCGRG00000006024
mesocricetus_auratus ENSMAUG00000018607
nannospalax_galili ENSNGAG00000002647
loxodonta_africana ENSLAFG00000000763
echinops_telfairi ENSETEG00000016443
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021375
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0023694
cricetulus_griseus_crigri-picr ENSCGRG00015022565
ochotona_princeps ENSOPRG00000017215
bos_mutus ENSBMUG00000012808
dasypus_novemcinctus ENSDNOG00000003944
choloepus_hoffmanni ENSCHOG00000002419
notamacropus_eugenii ENSMEUG00000011957
phascolarctos_cinereus ENSPCIG00000015503
sarcophilus_harrisii ENSSHAG00000017635
monodelphis_domestica ENSMODG00000021032
ornithorhynchus_anatinus ENSOANG00000006469
gallus_gallus ENSGALG00000016202
meleagris_gallopavo ENSMGAG00000014590
numida_meleagris ENSNMEG00000013090
anas_platyrhynchos_platyrhynchos ENSAPLG00000004231
lepidothrix_coronata ENSLCOG00000002287
manacus_vitellinus ENSMVIG00005006829
parus_major ENSPMJG00000010768
cyanistes_caeruleus ENSCCEG00000017132
junco_hyemalis ENSJHYG00000013524
zonotrichia_albicollis ENSZALG00000002455
ficedula_albicollis ENSFALG00000002019
taeniopygia_guttata ENSTGUG00000005915
lonchura_striata_domestica ENSLSDG00000008314
serinus_canaria ENSSCAG00000011206
taeniopygia_guttata ENSTGUG00000015051
coturnix_japonica ENSCJPG00005008756
anser_brachyrhynchus ENSABRG00000015002
calidris_pygmaea ENSCPGG00000010218
calidris_pugnax ENSCPUG00000012238
melopsittacus_undulatus ENSMUNG00000009111
apteryx_owenii ENSAOWG00000014615
apteryx_rowi ENSARWG00000017771
apteryx_haastii ENSAHAG00000003062
dromaius_novaehollandiae ENSDNVG00000006526
nothoprocta_perdicaria ENSNPEG00000009543
crocodylus_porosus ENSCPRG00005016440
