anabas_testudineus ENSATEG00000013968
periophthalmus_magnuspinnatus ENSPMGG00000018092
tetraodon_nigroviridis ENSTNIG00000016791
tetraodon_nigroviridis ENSTNIG00000001573
takifugu_rubripes ENSTRUG00000014648
gambusia_affinis ENSGAFG00000000800
xiphophorus_maculatus ENSXMAG00000010654
poecilia_formosa ENSPFOG00000010690
poecilia_latipinna ENSPLAG00000023268
poecilia_mexicana ENSPMEG00000003384
poecilia_reticulata ENSPREG00000015917
fundulus_heteroclitus ENSFHEG00000002701
cyprinodon_variegatus ENSCVAG00000012130
kryptolebias_marmoratus ENSKMAG00000004791
oryzias_latipes_asm223469v1 ENSORLG00015017690
oryzias_latipes_asm223471v1 ENSORLG00020018411
oryzias_latipes_asm223467v1 ENSORLG00000023993
oryzias_melastigma ENSOMEG00000019344
amphiprion_percula ENSAPEG00000010393
amphiprion_ocellaris ENSAOCG00000010794
acanthochromis_polyacanthus ENSAPOG00000017012
acanthochromis_polyacanthus ENSAPOG00000013615
acanthochromis_polyacanthus ENSAPOG00000019159
stegastes_partitus ENSSPAG00000008710
mastacembelus_armatus ENSMAMG00000021740
monopterus_albus ENSMALG00000012697
maylandia_zebra ENSMZEG00005004287
pundamilia_nyererei ENSPNYG00000015467
haplochromis_burtoni ENSHBUG00000012066
astatotilapia_calliptera ENSACLG00000015984
neolamprologus_brichardi ENSNBRG00000002968
oreochromis_niloticus ENSONIG00000005274
amphilophus_citrinellus ENSACIG00000022176
seriola_dumerili ENSSDUG00000016428
seriola_lalandi_dorsalis ENSSLDG00000015313
scophthalmus_maximus ENSSMAG00000018224
mola_mola ENSMMOG00000003007
labrus_bergylta ENSLBEG00000004340
gasterosteus_aculeatus ENSGACG00000017618
cynoglossus_semilaevis ENSCSEG00000006082
hippocampus_comes ENSHCOG00000006808
gadus_morhua ENSGMOG00000018504
esox_lucius ENSELUG00000008008
astyanax_mexicanus ENSAMXG00000032005
pygocentrus_nattereri ENSPNAG00000023068
ictalurus_punctatus ENSIPUG00000002840
danio_rerio ENSDARG00000075727
paramormyrops_kingsleyae ENSPKIG00000020312
scleropages_formosus ENSSFOG00015006504
