danio_rerio ENSDARG00000038386
ictalurus_punctatus ENSIPUG00000024104
esox_lucius ENSELUG00000003258
mola_mola ENSMMOG00000007056
takifugu_rubripes ENSTRUG00000012801
labrus_bergylta ENSLBEG00000009122
amphiprion_ocellaris ENSAOCG00000006977
amphiprion_percula ENSAPEG00000021889
acanthochromis_polyacanthus ENSAPOG00000018498
amphilophus_citrinellus ENSACIG00000013500
anabas_testudineus ENSATEG00000022825
monopterus_albus ENSMALG00000007963
seriola_dumerili ENSSDUG00000016538
seriola_lalandi_dorsalis ENSSLDG00000004770
stegastes_partitus ENSSPAG00000003572
periophthalmus_magnuspinnatus ENSPMGG00000023530
mastacembelus_armatus ENSMAMG00000016256
gasterosteus_aculeatus ENSGACG00000020048
gadus_morhua ENSGMOG00000002268
fundulus_heteroclitus ENSFHEG00000003373
cyprinodon_variegatus ENSCVAG00000015813
poecilia_latipinna ENSPLAG00000015417
poecilia_formosa ENSPFOG00000018073
poecilia_mexicana ENSPMEG00000015392
poecilia_reticulata ENSPREG00000006969
xiphophorus_maculatus ENSXMAG00000019614
gambusia_affinis ENSGAFG00000016263
kryptolebias_marmoratus ENSKMAG00000013228
oryzias_latipes_asm223471v1 ENSORLG00020008471
oryzias_latipes_asm223467v1 ENSORLG00000016504
oryzias_latipes_asm223469v1 ENSORLG00015007657
oryzias_melastigma ENSOMEG00000003274
maylandia_zebra ENSMZEG00005001134
astatotilapia_calliptera ENSACLG00000016598
pundamilia_nyererei ENSPNYG00000021891
haplochromis_burtoni ENSHBUG00000008452
neolamprologus_brichardi ENSNBRG00000011381
oreochromis_niloticus ENSONIG00000021219
scophthalmus_maximus ENSSMAG00000005248
cynoglossus_semilaevis ENSCSEG00000004639
pygocentrus_nattereri ENSPNAG00000004551
astyanax_mexicanus ENSAMXG00000014210
hippocampus_comes ENSHCOG00000018503
paramormyrops_kingsleyae ENSPKIG00000006153
