octodon_degus ENSODEG00000009660
meriones_unguiculatus ENSMUGG00000018205
ursus_americanus ENSUAMG00000005588
ursus_maritimus ENSUMAG00000006676
neovison_vison ENSNVIG00000011064
felis_catus ENSFCAG00000024137
panthera_pardus ENSPPRG00000007077
felis_catus ENSFCAG00000032957
ursus_americanus ENSUAMG00000005343
ursus_maritimus ENSUMAG00000012515
equus_asinus_asinus ENSEASG00005009444
equus_caballus ENSECAG00000038661
macaca_nemestrina ENSMNEG00000034451
capra_hircus ENSCHIG00000006931
echinops_telfairi ENSETEG00000019649
