poecilia_mexicana ENSPMEG00000001852
poecilia_latipinna ENSPLAG00000004982
xiphophorus_maculatus ENSXMAG00000008850
cyprinodon_variegatus ENSCVAG00000020150
kryptolebias_marmoratus ENSKMAG00000005461
takifugu_rubripes ENSTRUG00000025934
tetraodon_nigroviridis ENSTNIG00000007373
poecilia_reticulata ENSPREG00000018043
gambusia_affinis ENSGAFG00000006716
xiphophorus_couchianus ENSXCOG00000009271
poecilia_formosa ENSPFOG00000004702
takifugu_rubripes ENSTRUG00000025909
cynoglossus_semilaevis ENSCSEG00000008431
periophthalmus_magnuspinnatus ENSPMGG00000015145
monopterus_albus ENSMALG00000013505
hippocampus_comes ENSHCOG00000019590
astatotilapia_calliptera ENSACLG00000024766
amphilophus_citrinellus ENSACIG00000019570
astyanax_mexicanus ENSAMXG00000042813
danio_rerio ENSDARG00000033175
pygocentrus_nattereri ENSPNAG00000013300
acanthochromis_polyacanthus ENSAPOG00000024096
stegastes_partitus ENSSPAG00000016345
amphiprion_percula ENSAPEG00000015525
amphiprion_ocellaris ENSAOCG00000023377
oryzias_melastigma ENSOMEG00000001093
seriola_lalandi_dorsalis ENSSLDG00000015364
anabas_testudineus ENSATEG00000005597
anabas_testudineus ENSATEG00000005274
scophthalmus_maximus ENSSMAG00000017792
neolamprologus_brichardi ENSNBRG00000015473
pundamilia_nyererei ENSPNYG00000005592
mola_mola ENSMMOG00000010041
gasterosteus_aculeatus ENSGACG00000010920
esox_lucius ENSELUG00000012430
labrus_bergylta ENSLBEG00000008062
labrus_bergylta ENSLBEG00000010571
oryzias_latipes_asm223471v1 ENSORLG00020002444
oryzias_latipes_asm223467v1 ENSORLG00000012059
oryzias_latipes_asm223469v1 ENSORLG00015000709
gadus_morhua ENSGMOG00000016322
ictalurus_punctatus ENSIPUG00000004562
mastacembelus_armatus ENSMAMG00000023509
lepisosteus_oculatus ENSLOCG00000011927
scleropages_formosus ENSSFOG00015001485
latimeria_chalumnae ENSLACG00000012610
dipodomys_ordii ENSDORG00000028315
dipodomys_ordii ENSDORG00000023576
cavia_aperea ENSCAPG00000015503
mus_spicilegus ENSMSIG00000024945
prolemur_simus ENSPSMG00000001179
microcebus_murinus ENSMICG00000029654
propithecus_coquereli ENSPCOG00000011375
propithecus_coquereli ENSPCOG00000014094
panthera_tigris_altaica ENSPTIG00000005218
panthera_pardus ENSPPRG00000015827
vulpes_vulpes ENSVVUG00000028358
bos_mutus ENSBMUG00000021904
bison_bison_bison ENSBBBG00000008841
capra_hircus ENSCHIG00000009858
urocitellus_parryii ENSUPAG00010003116
sphenodon_punctatus ENSSPUG00000011701
coturnix_japonica ENSCJPG00005009340
cyanistes_caeruleus ENSCCEG00000017771
theropithecus_gelada ENSTGEG00000022149
macaca_mulatta ENSMMUG00000015232
piliocolobus_tephrosceles ENSPTEG00000011700
nannospalax_galili ENSNGAG00000024125
bos_taurus ENSBTAG00000008426
bos_taurus ENSBTAG00000032198
canis_lupus_dingo ENSCAFG00020007518
paramormyrops_kingsleyae ENSPKIG00000013388
marmota_marmota_marmota ENSMMMG00000018036
spermophilus_dauricus ENSSDAG00000011255
manacus_vitellinus ENSMVIG00005018317
apteryx_owenii ENSAOWG00000010270
pelodiscus_sinensis ENSPSIG00000008935
nomascus_leucogenys ENSNLEG00000027348
equus_asinus_asinus ENSEASG00005011462
apteryx_rowi ENSARWG00000002167
ficedula_albicollis ENSFALG00000000488
lonchura_striata_domestica ENSLSDG00000009310
bos_taurus ENSBTAG00000039066
bison_bison_bison ENSBBBG00000004907
phascolarctos_cinereus ENSPCIG00000011682
phascolarctos_cinereus ENSPCIG00000026036
pan_troglodytes ENSPTRG00000051112
pan_paniscus ENSPPAG00000036771
macaca_fascicularis ENSMFAG00000041204
octodon_degus ENSODEG00000019677
panthera_pardus ENSPPRG00000024940
canis_lupus_dingo ENSCAFG00020022987
myotis_lucifugus ENSMLUG00000013374
vicugna_pacos ENSVPAG00000011162
aotus_nancymaae ENSANAG00000023411
saimiri_boliviensis_boliviensis ENSSBOG00000031779
echinops_telfairi ENSETEG00000001249
canis_lupus_dingo ENSCAFG00020007342
notamacropus_eugenii ENSMEUG00000015262
chelonoidis_abingdonii ENSCABG00000010313
chelonoidis_abingdonii ENSCABG00000009750
meleagris_gallopavo ENSMGAG00000002674
parus_major ENSPMJG00000017511
spermophilus_dauricus ENSSDAG00000001005
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027839
macaca_mulatta ENSMMUG00000031372
chlorocebus_sabaeus ENSCSAG00000018742
sus_scrofa ENSSSCG00000023562
panthera_tigris_altaica ENSPTIG00000010866
sphenodon_punctatus ENSSPUG00000000685
cricetulus_griseus_crigri_1.0 ENSCGRG00000013527
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001009217
cavia_porcellus ENSCPOG00000033680
mandrillus_leucophaeus ENSMLEG00000024574
cercocebus_atys ENSCATG00000045146
macaca_fascicularis ENSMFAG00000003057
macaca_nemestrina ENSMNEG00000033092
piliocolobus_tephrosceles ENSPTEG00000004737
gorilla_gorilla ENSGGOG00000040431
pan_troglodytes ENSPTRG00000051412
bos_taurus ENSBTAG00000030305
bos_taurus ENSBTAG00000049347
bison_bison_bison ENSBBBG00000020296
ailuropoda_melanoleuca ENSAMEG00000000882
procavia_capensis ENSPCAG00000011199
macaca_nemestrina ENSMNEG00000034559
papio_anubis ENSPANG00000034978
pongo_abelii ENSPPYG00000000326
callithrix_jacchus ENSCJAG00000046841
fukomys_damarensis ENSFDAG00000009037
nannospalax_galili ENSNGAG00000021588
ictidomys_tridecemlineatus ENSSTOG00000031197
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000090553
mus_spicilegus ENSMSIG00000018783
peromyscus_maniculatus_bairdii ENSPEMG00000008031
marmota_marmota_marmota ENSMMMG00000013676
bison_bison_bison ENSBBBG00000017104
sorex_araneus ENSSARG00000003311
gorilla_gorilla ENSGGOG00000043102
aotus_nancymaae ENSANAG00000036379
castor_canadensis ENSCCNG00000027067
microtus_ochrogaster ENSMOCG00000019341
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000004221
cavia_aperea ENSCAPG00000006904
jaculus_jaculus ENSJJAG00000007840
bos_mutus ENSBMUG00000007082
ursus_maritimus ENSUMAG00000005861
pan_paniscus ENSPPAG00000041057
theropithecus_gelada ENSTGEG00000017263
mandrillus_leucophaeus ENSMLEG00000043360
theropithecus_gelada ENSTGEG00000021417
rhinopithecus_roxellana ENSRROG00000032108
saimiri_boliviensis_boliviensis ENSSBOG00000034982
pongo_abelii ENSPPYG00000014024
pongo_abelii ENSPPYG00000019223
octodon_degus ENSODEG00000019221
octodon_degus ENSODEG00000020345
chinchilla_lanigera ENSCLAG00000014699
dipodomys_ordii ENSDORG00000029115
urocitellus_parryii ENSUPAG00010007135
homo_sapiens ENSG00000182004
cebus_capucinus_imitator ENSCCAG00000020762
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014603
cricetulus_griseus_crigri-picr ENSCGRG00015001539
chinchilla_lanigera ENSCLAG00000013355
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015410
choloepus_hoffmanni ENSCHOG00000009158
phascolarctos_cinereus ENSPCIG00000017391
sarcophilus_harrisii ENSSHAG00000002978
calidris_pygmaea ENSCPGG00000016624
melopsittacus_undulatus ENSMUNG00000008311
anolis_carolinensis ENSACAG00000010067
myotis_lucifugus ENSMLUG00000013244
notechis_scutatus ENSNSUG00000016608
prolemur_simus ENSPSMG00000015530
serinus_canaria ENSSCAG00000010283
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100010028
felis_catus ENSFCAG00000042558
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019074
lepidothrix_coronata ENSLCOG00000002876
pan_troglodytes ENSPTRG00000043604
macaca_fascicularis ENSMFAG00000039994
prolemur_simus ENSPSMG00000003970
octodon_degus ENSODEG00000013393
cricetulus_griseus_crigri_1.0 ENSCGRG00000000675
ochotona_princeps ENSOPRG00000015415
echinops_telfairi ENSETEG00000014015
dasypus_novemcinctus ENSDNOG00000004490
ursus_americanus ENSUAMG00000005257
ursus_americanus ENSUAMG00000003360
ursus_americanus ENSUAMG00000003406
ursus_maritimus ENSUMAG00000014081
vulpes_vulpes ENSVVUG00000018389
ovis_aries ENSOARG00000006169
capra_hircus ENSCHIG00000004218
canis_lupus_familiaris ENSCAFG00000017806
canis_lupus_dingo ENSCAFG00020011362
mustela_putorius_furo ENSMPUG00000018623
capra_hircus ENSCHIG00000023516
sus_scrofa ENSSSCG00000040612
sorex_araneus ENSSARG00000004546
capra_hircus ENSCHIG00000013740
bos_mutus ENSBMUG00000014587
cavia_aperea ENSCAPG00000007891
cavia_porcellus ENSCPOG00000031058
octodon_degus ENSODEG00000005667
castor_canadensis ENSCCNG00000009152
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001021716
cricetulus_griseus_crigri-picr ENSCGRG00015013980
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013414
nannospalax_galili ENSNGAG00000003090
jaculus_jaculus ENSJJAG00000022841
carlito_syrichta ENSTSYG00000031884
canis_lupus_familiaris ENSCAFG00000002085
vulpes_vulpes ENSVVUG00000004483
cercocebus_atys ENSCATG00000041403
colobus_angolensis_palliatus ENSCANG00000036317
ictidomys_tridecemlineatus ENSSTOG00000021817
capra_hircus ENSCHIG00000024013
spermophilus_dauricus ENSSDAG00000023250
marmota_marmota_marmota ENSMMMG00000020207
mesocricetus_auratus ENSMAUG00000000825
dipodomys_ordii ENSDORG00000023808
propithecus_coquereli ENSPCOG00000013853
erinaceus_europaeus ENSEEUG00000006187
dasypus_novemcinctus ENSDNOG00000031493
pan_troglodytes ENSPTRG00000044898
pan_paniscus ENSPPAG00000035809
nomascus_leucogenys ENSNLEG00000028501
macaca_nemestrina ENSMNEG00000017672
macaca_mulatta ENSMMUG00000045909
macaca_fascicularis ENSMFAG00000031114
cercocebus_atys ENSCATG00000033790
papio_anubis ENSPANG00000035380
mandrillus_leucophaeus ENSMLEG00000019792
rhinopithecus_bieti ENSRBIG00000033867
rhinopithecus_roxellana ENSRROG00000031357
propithecus_coquereli ENSPCOG00000028436
dasypus_novemcinctus ENSDNOG00000033638
cavia_porcellus ENSCPOG00000032152
cavia_aperea ENSCAPG00000006739
propithecus_coquereli ENSPCOG00000021529
sus_scrofa ENSSSCG00000031582
dasypus_novemcinctus ENSDNOG00000040661
loxodonta_africana ENSLAFG00000009349
monodelphis_domestica ENSMODG00000028394
ornithorhynchus_anatinus ENSOANG00000003101
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001001996
cricetulus_griseus_crigri-picr ENSCGRG00015025355
rattus_norvegicus ENSRNOG00000031127
dipodomys_ordii ENSDORG00000024454
callithrix_jacchus ENSCJAG00000022878
capra_hircus ENSCHIG00000004531
apteryx_haastii ENSAHAG00000015633
anser_brachyrhynchus ENSABRG00000012504
salvator_merianae ENSSMRG00000003065
cavia_porcellus ENSCPOG00000040399
cavia_aperea ENSCAPG00000016066
dipodomys_ordii ENSDORG00000026946
aotus_nancymaae ENSANAG00000000051
