spermophilus_dauricus ENSSDAG00000007118
urocitellus_parryii ENSUPAG00010012908
marmota_marmota_marmota ENSMMMG00000002931
castor_canadensis ENSCCNG00000004940
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033567
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000092622
mus_spicilegus ENSMSIG00000029967
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032429
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0015293
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033568
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032430
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000092310
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0015294
rattus_norvegicus ENSRNOG00000054460
meriones_unguiculatus ENSMUGG00000012304
peromyscus_maniculatus_bairdii ENSPEMG00000024522
peromyscus_maniculatus_bairdii ENSPEMG00000030185
microtus_ochrogaster ENSMOCG00000006005
oryctolagus_cuniculus ENSOCUG00000014488
ochotona_princeps ENSOPRG00000013565
propithecus_coquereli ENSPCOG00000001262
microcebus_murinus ENSMICG00000045560
prolemur_simus ENSPSMG00000004291
otolemur_garnettii ENSOGAG00000016691
callithrix_jacchus ENSCJAG00000009947
saimiri_boliviensis_boliviensis ENSSBOG00000026496
cebus_capucinus_imitator ENSCCAG00000025605
cebus_capucinus_imitator ENSCCAG00000035374
aotus_nancymaae ENSANAG00000028882
aotus_nancymaae ENSANAG00000035691
pan_troglodytes ENSPTRG00000029546
pan_troglodytes ENSPTRG00000050983
pan_paniscus ENSPPAG00000043830
gorilla_gorilla ENSGGOG00000007778
homo_sapiens ENSG00000203908
pongo_abelii ENSPPYG00000016772
nomascus_leucogenys ENSNLEG00000001200
piliocolobus_tephrosceles ENSPTEG00000025829
piliocolobus_tephrosceles ENSPTEG00000028338
colobus_angolensis_palliatus ENSCANG00000032135
colobus_angolensis_palliatus ENSCANG00000035315
piliocolobus_tephrosceles ENSPTEG00000015367
rhinopithecus_bieti ENSRBIG00000036722
rhinopithecus_roxellana ENSRROG00000031155
cercocebus_atys ENSCATG00000033310
papio_anubis ENSPANG00000020317
mandrillus_leucophaeus ENSMLEG00000003534
macaca_fascicularis ENSMFAG00000041622
macaca_mulatta ENSMMUG00000010084
macaca_nemestrina ENSMNEG00000038910
theropithecus_gelada ENSTGEG00000012797
chlorocebus_sabaeus ENSCSAG00000013920
tursiops_truncatus ENSTTRG00000001486
sus_scrofa ENSSSCG00000004284
bos_mutus ENSBMUG00000019638
bos_taurus ENSBTAG00000034925
bison_bison_bison ENSBBBG00000012203
capra_hircus ENSCHIG00000021014
ovis_aries ENSOARG00000010996
vicugna_pacos ENSVPAG00000008082
sorex_araneus ENSSARG00000012250
sorex_araneus ENSSARG00000003714
pteropus_vampyrus ENSPVAG00000012714
myotis_lucifugus ENSMLUG00000004469
mustela_putorius_furo ENSMPUG00000004363
neovison_vison ENSNVIG00000015247
vulpes_vulpes ENSVVUG00000013898
vulpes_vulpes ENSVVUG00000011137
vulpes_vulpes ENSVVUG00000030193
canis_lupus_dingo ENSCAFG00020010020
canis_lupus_familiaris ENSCAFG00000029827
ursus_maritimus ENSUMAG00000012278
ursus_americanus ENSUAMG00000012905
ailuropoda_melanoleuca ENSAMEG00000007887
panthera_tigris_altaica ENSPTIG00000017035
panthera_pardus ENSPPRG00000018331
felis_catus ENSFCAG00000006770
dasypus_novemcinctus ENSDNOG00000048618
dasypus_novemcinctus ENSDNOG00000037910
loxodonta_africana ENSLAFG00000012747
loxodonta_africana ENSLAFG00000029192
procavia_capensis ENSPCAG00000013829
