maylandia_zebra ENSMZEG00005023768
neolamprologus_brichardi ENSNBRG00000016197
poecilia_latipinna ENSPLAG00000012540
gasterosteus_aculeatus ENSGACG00000020235
takifugu_rubripes ENSTRUG00000023695
seriola_dumerili ENSSDUG00000017708
seriola_lalandi_dorsalis ENSSLDG00000020026
oryzias_latipes_asm223467v1 ENSORLG00000028284
oreochromis_niloticus ENSONIG00000000428
amphilophus_citrinellus ENSACIG00000009812
kryptolebias_marmoratus ENSKMAG00000019940
kryptolebias_marmoratus ENSKMAG00000019931
poecilia_formosa ENSPFOG00000021974
xiphophorus_maculatus ENSXMAG00000022142
hippocampus_comes ENSHCOG00000007138
labrus_bergylta ENSLBEG00000009971
danio_rerio ENSDARG00000078502
gallus_gallus ENSGALG00000047283
lepidothrix_coronata ENSLCOG00000013836
numida_meleagris ENSNMEG00000014428
gallus_gallus ENSGALG00000044326
anolis_carolinensis ENSACAG00000023029
notechis_scutatus ENSNSUG00000011990
salvator_merianae ENSSMRG00000007374
pogona_vitticeps ENSPVIG00000005136
sphenodon_punctatus ENSSPUG00000016005
coturnix_japonica ENSCJPG00005004727
melopsittacus_undulatus ENSMUNG00000002112
numida_meleagris ENSNMEG00000014419
meleagris_gallopavo ENSMGAG00000013667
anser_brachyrhynchus ENSABRG00000019085
apteryx_rowi ENSARWG00000011090
dromaius_novaehollandiae ENSDNVG00000013761
apteryx_owenii ENSAOWG00000004970
apteryx_owenii ENSAOWG00000005036
apteryx_haastii ENSAHAG00000005794
apteryx_rowi ENSARWG00000011093
anser_brachyrhynchus ENSABRG00000019129
apteryx_rowi ENSARWG00000011101
apteryx_rowi ENSARWG00000011091
apteryx_haastii ENSAHAG00000005639
dromaius_novaehollandiae ENSDNVG00000013753
numida_meleagris ENSNMEG00000014525
coturnix_japonica ENSCJPG00005004723
meleagris_gallopavo ENSMGAG00000009478
apteryx_haastii ENSAHAG00000005753
apteryx_owenii ENSAOWG00000005007
dromaius_novaehollandiae ENSDNVG00000000864
apteryx_haastii ENSAHAG00000003167
apteryx_rowi ENSARWG00000011092
dromaius_novaehollandiae ENSDNVG00000015469
apteryx_rowi ENSARWG00000011089
apteryx_haastii ENSAHAG00000005597
apteryx_owenii ENSAOWG00000004498
numida_meleagris ENSNMEG00000014421
calidris_pygmaea ENSCPGG00000009548
anas_platyrhynchos_platyrhynchos ENSAPLG00000010298
dromaius_novaehollandiae ENSDNVG00000000604
calidris_pugnax ENSCPUG00000014512
calidris_pugnax ENSCPUG00000014508
calidris_pugnax ENSCPUG00000014510
dromaius_novaehollandiae ENSDNVG00000000859
nothoprocta_perdicaria ENSNPEG00000015956
meleagris_gallopavo ENSMGAG00000010967
