theropithecus_gelada ENSTGEG00000021734
papio_anubis ENSPANG00000032308
cercocebus_atys ENSCATG00000015127
macaca_mulatta ENSMMUG00000044205
macaca_fascicularis ENSMFAG00000034779
macaca_nemestrina ENSMNEG00000037897
colobus_angolensis_palliatus ENSCANG00000037522
cebus_capucinus_imitator ENSCCAG00000030459
saimiri_boliviensis_boliviensis ENSSBOG00000034787
aotus_nancymaae ENSANAG00000036164
ursus_americanus ENSUAMG00000001697
ursus_americanus ENSUAMG00000018295
ursus_maritimus ENSUMAG00000021595
ursus_americanus ENSUAMG00000018294
