scophthalmus_maximus ENSSMAG00000009314
labrus_bergylta ENSLBEG00000002295
oryzias_latipes_asm223469v1 ENSORLG00015020099
oryzias_latipes_asm223467v1 ENSORLG00000030394
oryzias_melastigma ENSOMEG00000014269
periophthalmus_magnuspinnatus ENSPMGG00000013802
amphiprion_percula ENSAPEG00000000673
amphiprion_ocellaris ENSAOCG00000021165
stegastes_partitus ENSSPAG00000013588
astatotilapia_calliptera ENSACLG00000011944
haplochromis_burtoni ENSHBUG00000001191
maylandia_zebra ENSMZEG00005002016
pundamilia_nyererei ENSPNYG00000021463
neolamprologus_brichardi ENSNBRG00000013543
amphilophus_citrinellus ENSACIG00000001947
xiphophorus_maculatus ENSXMAG00000002164
xiphophorus_couchianus ENSXCOG00000014746
gambusia_affinis ENSGAFG00000017105
poecilia_mexicana ENSPMEG00000014315
poecilia_latipinna ENSPLAG00000013061
fundulus_heteroclitus ENSFHEG00000018808
cyprinodon_variegatus ENSCVAG00000004823
kryptolebias_marmoratus ENSKMAG00000009434
anabas_testudineus ENSATEG00000004859
mastacembelus_armatus ENSMAMG00000016738
cynoglossus_semilaevis ENSCSEG00000003918
acanthochromis_polyacanthus ENSAPOG00000021652
monopterus_albus ENSMALG00000019970
mola_mola ENSMMOG00000004118
esox_lucius ENSELUG00000020265
ictalurus_punctatus ENSIPUG00000017276
pelodiscus_sinensis ENSPSIG00000005871
chrysemys_picta_bellii ENSCPBG00000003731
