heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000018678
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100011783
fukomys_damarensis ENSFDAG00000013712
cavia_porcellus ENSCPOG00000038491
chinchilla_lanigera ENSCLAG00000003475
urocitellus_parryii ENSUPAG00010014126
ictidomys_tridecemlineatus ENSSTOG00000023041
marmota_marmota_marmota ENSMMMG00000018834
spermophilus_dauricus ENSSDAG00000019938
microtus_ochrogaster ENSMOCG00000002312
peromyscus_maniculatus_bairdii ENSPEMG00000017060
cricetulus_griseus_crigri_1.0 ENSCGRG00000003697
cricetulus_griseus_crigri-picr ENSCGRG00015001108
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023393
mesocricetus_auratus ENSMAUG00000000890
mus_spicilegus ENSMSIG00000005142
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018805
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000004791
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017960
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0029719
rattus_norvegicus ENSRNOG00000005650
meriones_unguiculatus ENSMUGG00000014490
nannospalax_galili ENSNGAG00000000539
jaculus_jaculus ENSJJAG00000017768
dipodomys_ordii ENSDORG00000029841
oryctolagus_cuniculus ENSOCUG00000026354
ochotona_princeps ENSOPRG00000011869
carlito_syrichta ENSTSYG00000035657
equus_asinus_asinus ENSEASG00005012033
equus_caballus ENSECAG00000031273
loxodonta_africana ENSLAFG00000016611
cercocebus_atys ENSCATG00000021773
theropithecus_gelada ENSTGEG00000024601
macaca_nemestrina ENSMNEG00000030055
macaca_mulatta ENSMMUG00000002909
chlorocebus_sabaeus ENSCSAG00000012223
mandrillus_leucophaeus ENSMLEG00000028938
rhinopithecus_roxellana ENSRROG00000034324
rhinopithecus_bieti ENSRBIG00000031738
homo_sapiens ENSG00000119630
pongo_abelii ENSPPYG00000005995
nomascus_leucogenys ENSNLEG00000016375
neovison_vison ENSNVIG00000015578
mustela_putorius_furo ENSMPUG00000009258
ursus_americanus ENSUAMG00000013523
vulpes_vulpes ENSVVUG00000005220
vulpes_vulpes ENSVVUG00000003978
canis_lupus_familiaris ENSCAFG00000016995
canis_lupus_dingo ENSCAFG00020002459
panthera_pardus ENSPPRG00000001100
panthera_tigris_altaica ENSPTIG00000015737
felis_catus ENSFCAG00000036808
ursus_maritimus ENSUMAG00000008261
pteropus_vampyrus ENSPVAG00000000662
sus_scrofa ENSSSCG00000002376
tursiops_truncatus ENSTTRG00000001918
vicugna_pacos ENSVPAG00000003079
pan_paniscus ENSPPAG00000031002
pan_troglodytes ENSPTRG00000006545
gorilla_gorilla ENSGGOG00000014737
colobus_angolensis_palliatus ENSCANG00000036105
callithrix_jacchus ENSCJAG00000020572
cebus_capucinus_imitator ENSCCAG00000019441
aotus_nancymaae ENSANAG00000032847
macaca_fascicularis ENSMFAG00000044494
papio_anubis ENSPANG00000017556
saimiri_boliviensis_boliviensis ENSSBOG00000021274
piliocolobus_tephrosceles ENSPTEG00000026569
prolemur_simus ENSPSMG00000015095
propithecus_coquereli ENSPCOG00000016435
microcebus_murinus ENSMICG00000006094
otolemur_garnettii ENSOGAG00000008229
