ciona_savignyi ENSCSAVG00000009937
ciona_intestinalis ENSCING00000007140
ciona_intestinalis ENSCING00000006296
caenorhabditis_elegans_strain_n2 WBGene00020135
petromyzon_marinus ENSPMAG00000005482
eptatretus_burgeri ENSEBUG00000013230
petromyzon_marinus ENSPMAG00000004236
pogona_vitticeps ENSPVIG00000016011
anolis_carolinensis ENSACAG00000008069
notechis_scutatus ENSNSUG00000006927
salvator_merianae ENSSMRG00000012046
ochotona_princeps ENSOPRG00000016170
oryctolagus_cuniculus ENSOCUG00000008409
cricetulus_griseus_crigri_1.0 ENSCGRG00000010459
cricetulus_griseus_crigri-picr ENSCGRG00015006002
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001003063
mesocricetus_auratus ENSMAUG00000011761
microtus_ochrogaster ENSMOCG00000014481
peromyscus_maniculatus_bairdii ENSPEMG00000015142
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021145
mus_spicilegus ENSMSIG00000001568
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000067713
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020248
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020251
meriones_unguiculatus ENSMUGG00000026511
erinaceus_europaeus ENSEEUG00000007347
sorex_araneus ENSSARG00000012552
choloepus_hoffmanni ENSCHOG00000006397
choloepus_hoffmanni ENSCHOG00000004818
choloepus_hoffmanni ENSCHOG00000000249
dasypus_novemcinctus ENSDNOG00000006640
procavia_capensis ENSPCAG00000003548
echinops_telfairi ENSETEG00000001395
loxodonta_africana ENSLAFG00000005040
capra_hircus ENSCHIG00000020571
ovis_aries ENSOARG00000019034
bos_mutus ENSBMUG00000023104
bos_taurus ENSBTAG00000014426
bison_bison_bison ENSBBBG00000023811
tursiops_truncatus ENSTTRG00000004730
sus_scrofa ENSSSCG00000000185
sus_scrofa ENSSSCG00000031609
vicugna_pacos ENSVPAG00000004390
ursus_americanus ENSUAMG00000027070
ursus_maritimus ENSUMAG00000006562
ailuropoda_melanoleuca ENSAMEG00000006964
mustela_putorius_furo ENSMPUG00000014684
neovison_vison ENSNVIG00000007086
canis_lupus_dingo ENSCAFG00020013408
canis_lupus_familiaris ENSCAFG00000008750
vulpes_vulpes ENSVVUG00000019735
panthera_pardus ENSPPRG00000009137
panthera_tigris_altaica ENSPTIG00000008554
felis_catus ENSFCAG00000000091
equus_caballus ENSECAG00000011134
equus_asinus_asinus ENSEASG00005000627
pteropus_vampyrus ENSPVAG00000004631
myotis_lucifugus ENSMLUG00000011156
castor_canadensis ENSCCNG00000000110
dipodomys_ordii ENSDORG00000006505
jaculus_jaculus ENSJJAG00000021260
nannospalax_galili ENSNGAG00000012811
marmota_marmota_marmota ENSMMMG00000023013
marmota_marmota_marmota ENSMMMG00000019850
urocitellus_parryii ENSUPAG00010009337
ictidomys_tridecemlineatus ENSSTOG00000014648
spermophilus_dauricus ENSSDAG00000015231
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018638
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000003937
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100010407
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011527
fukomys_damarensis ENSFDAG00000015144
cavia_porcellus ENSCPOG00000002966
chinchilla_lanigera ENSCLAG00000003459
octodon_degus ENSODEG00000004046
octodon_degus ENSODEG00000016197
tupaia_belangeri ENSTBEG00000001141
pan_troglodytes ENSPTRG00000004895
pan_paniscus ENSPPAG00000041021
homo_sapiens ENSG00000181929
gorilla_gorilla ENSGGOG00000011283
pongo_abelii ENSPPYG00000004477
nomascus_leucogenys ENSNLEG00000017850
colobus_angolensis_palliatus ENSCANG00000042173
piliocolobus_tephrosceles ENSPTEG00000009153
rhinopithecus_bieti ENSRBIG00000028288
rhinopithecus_roxellana ENSRROG00000037662
macaca_fascicularis ENSMFAG00000040023
macaca_nemestrina ENSMNEG00000032221
macaca_mulatta ENSMMUG00000015713
papio_anubis ENSPANG00000000832
cercocebus_atys ENSCATG00000035196
theropithecus_gelada ENSTGEG00000001228
mandrillus_leucophaeus ENSMLEG00000040639
chlorocebus_sabaeus ENSCSAG00000006199
saimiri_boliviensis_boliviensis ENSSBOG00000021677
cebus_capucinus_imitator ENSCCAG00000017317
callithrix_jacchus ENSCJAG00000020827
callithrix_jacchus ENSCJAG00000011613
aotus_nancymaae ENSANAG00000029035
carlito_syrichta ENSTSYG00000013458
propithecus_coquereli ENSPCOG00000014137
microcebus_murinus ENSMICG00000035239
prolemur_simus ENSPSMG00000005361
otolemur_garnettii ENSOGAG00000025407
otolemur_garnettii ENSOGAG00000013439
notamacropus_eugenii ENSMEUG00000006414
phascolarctos_cinereus ENSPCIG00000027439
sarcophilus_harrisii ENSSHAG00000003385
monodelphis_domestica ENSMODG00000015720
apteryx_owenii ENSAOWG00000011708
apteryx_haastii ENSAHAG00000005650
apteryx_rowi ENSARWG00000015176
dromaius_novaehollandiae ENSDNVG00000007632
nothoprocta_perdicaria ENSNPEG00000012534
gallus_gallus ENSGALG00000036282
coturnix_japonica ENSCJPG00005000949
anas_platyrhynchos_platyrhynchos ENSAPLG00000030970
lonchura_striata_domestica ENSLSDG00000001302
serinus_canaria ENSSCAG00000013893
ficedula_albicollis ENSFALG00000000160
cyanistes_caeruleus ENSCCEG00000002632
parus_major ENSPMJG00000005254
lepidothrix_coronata ENSLCOG00000011537
calidris_pygmaea ENSCPGG00000018911
crocodylus_porosus ENSCPRG00005007641
gopherus_agassizii ENSGAGG00000010234
chelonoidis_abingdonii ENSCABG00000007267
chrysemys_picta_bellii ENSCPBG00000020003
sphenodon_punctatus ENSSPUG00000015960
ornithorhynchus_anatinus ENSOANG00000029421
calidris_pugnax ENSCPUG00000000792
anser_brachyrhynchus ENSABRG00000003860
melopsittacus_undulatus ENSMUNG00000001461
zonotrichia_albicollis ENSZALG00000000625
coturnix_japonica ENSCJPG00005000966
ornithorhynchus_anatinus ENSOANG00000021331
xenopus_tropicalis ENSXETG00000011175
latimeria_chalumnae ENSLACG00000018997
labrus_bergylta ENSLBEG00000019193
gasterosteus_aculeatus ENSGACG00000000723
mola_mola ENSMMOG00000021838
fundulus_heteroclitus ENSFHEG00000008281
cyprinodon_variegatus ENSCVAG00000001286
xiphophorus_maculatus ENSXMAG00000002012
xiphophorus_couchianus ENSXCOG00000019684
gambusia_affinis ENSGAFG00000021741
poecilia_latipinna ENSPLAG00000015701
poecilia_mexicana ENSPMEG00000020636
poecilia_formosa ENSPFOG00000001212
poecilia_reticulata ENSPREG00000012817
kryptolebias_marmoratus ENSKMAG00000019317
oryzias_latipes_asm223469v1 ENSORLG00015022903
oryzias_latipes_asm223471v1 ENSORLG00020005108
oryzias_latipes_asm223467v1 ENSORLG00000001606
oryzias_melastigma ENSOMEG00000009407
amphiprion_ocellaris ENSAOCG00000007481
amphiprion_percula ENSAPEG00000016162
acanthochromis_polyacanthus ENSAPOG00000015304
stegastes_partitus ENSSPAG00000012683
pundamilia_nyererei ENSPNYG00000001702
haplochromis_burtoni ENSHBUG00000008108
maylandia_zebra ENSMZEG00005008563
astatotilapia_calliptera ENSACLG00000025108
oreochromis_niloticus ENSONIG00000019067
neolamprologus_brichardi ENSNBRG00000016958
amphilophus_citrinellus ENSACIG00000023062
monopterus_albus ENSMALG00000014099
mastacembelus_armatus ENSMAMG00000001764
anabas_testudineus ENSATEG00000001777
scophthalmus_maximus ENSSMAG00000001998
cynoglossus_semilaevis ENSCSEG00000003526
seriola_dumerili ENSSDUG00000007297
seriola_lalandi_dorsalis ENSSLDG00000025189
takifugu_rubripes ENSTRUG00000012309
tetraodon_nigroviridis ENSTNIG00000014590
periophthalmus_magnuspinnatus ENSPMGG00000008150
hippocampus_comes ENSHCOG00000003700
gadus_morhua ENSGMOG00000007558
esox_lucius ENSELUG00000016000
pygocentrus_nattereri ENSPNAG00000009322
astyanax_mexicanus ENSAMXG00000032009
ictalurus_punctatus ENSIPUG00000023346
danio_rerio ENSDARG00000003818
paramormyrops_kingsleyae ENSPKIG00000007879
scleropages_formosus ENSSFOG00015014903
lepisosteus_oculatus ENSLOCG00000007652
eptatretus_burgeri ENSEBUG00000005278
petromyzon_marinus ENSPMAG00000004283
eptatretus_burgeri ENSEBUG00000016271
anser_brachyrhynchus ENSABRG00000022188
anas_platyrhynchos_platyrhynchos ENSAPLG00000025550
gallus_gallus ENSGALG00000011360
meleagris_gallopavo ENSMGAG00000011406
coturnix_japonica ENSCJPG00005013106
numida_meleagris ENSNMEG00000022894
cyanistes_caeruleus ENSCCEG00000024471
parus_major ENSPMJG00000019734
ficedula_albicollis ENSFALG00000004143
taeniopygia_guttata ENSTGUG00000005596
lonchura_striata_domestica ENSLSDG00000013262
serinus_canaria ENSSCAG00000013178
junco_hyemalis ENSJHYG00000011178
zonotrichia_albicollis ENSZALG00000015294
manacus_vitellinus ENSMVIG00005005751
manacus_vitellinus ENSMVIG00005011919
lepidothrix_coronata ENSLCOG00000005912
melopsittacus_undulatus ENSMUNG00000013091
calidris_pugnax ENSCPUG00000000922
calidris_pygmaea ENSCPGG00000013351
apteryx_owenii ENSAOWG00000012488
apteryx_haastii ENSAHAG00000010101
apteryx_rowi ENSARWG00000016446
dromaius_novaehollandiae ENSDNVG00000018680
nothoprocta_perdicaria ENSNPEG00000008116
gopherus_agassizii ENSGAGG00000004495
chelonoidis_abingdonii ENSCABG00000018727
chrysemys_picta_bellii ENSCPBG00000013193
pogona_vitticeps ENSPVIG00000021435
anolis_carolinensis ENSACAG00000012857
notechis_scutatus ENSNSUG00000012162
salvator_merianae ENSSMRG00000011168
sphenodon_punctatus ENSSPUG00000015530
ovis_aries ENSOARG00000019718
capra_hircus ENSCHIG00000023341
bos_mutus ENSBMUG00000026007
bos_taurus ENSBTAG00000013492
bison_bison_bison ENSBBBG00000009488
sus_scrofa ENSSSCG00000016200
sorex_araneus ENSSARG00000012380
ursus_maritimus ENSUMAG00000019077
ursus_americanus ENSUAMG00000021463
ailuropoda_melanoleuca ENSAMEG00000002676
canis_lupus_familiaris ENSCAFG00000014957
canis_lupus_dingo ENSCAFG00020027043
vulpes_vulpes ENSVVUG00000000989
panthera_tigris_altaica ENSPTIG00000006300
panthera_pardus ENSPPRG00000008754
felis_catus ENSFCAG00000007064
equus_asinus_asinus ENSEASG00005011895
equus_caballus ENSECAG00000002430
myotis_lucifugus ENSMLUG00000004110
mustela_putorius_furo ENSMPUG00000016549
neovison_vison ENSNVIG00000022666
tursiops_truncatus ENSTTRG00000009964
pteropus_vampyrus ENSPVAG00000017167
erinaceus_europaeus ENSEEUG00000003012
echinops_telfairi ENSETEG00000017000
saimiri_boliviensis_boliviensis ENSSBOG00000034985
callithrix_jacchus ENSCJAG00000011362
cebus_capucinus_imitator ENSCCAG00000033243
aotus_nancymaae ENSANAG00000032002
pan_paniscus ENSPPAG00000028591
pan_troglodytes ENSPTRG00000012929
homo_sapiens ENSG00000115592
gorilla_gorilla ENSGGOG00000003249
pongo_abelii ENSPPYG00000013184
nomascus_leucogenys ENSNLEG00000008942
macaca_nemestrina ENSMNEG00000037455
macaca_fascicularis ENSMFAG00000044297
macaca_mulatta ENSMMUG00000021877
chlorocebus_sabaeus ENSCSAG00000008637
theropithecus_gelada ENSTGEG00000011630
papio_anubis ENSPANG00000000437
cercocebus_atys ENSCATG00000042843
mandrillus_leucophaeus ENSMLEG00000028317
colobus_angolensis_palliatus ENSCANG00000033963
piliocolobus_tephrosceles ENSPTEG00000039160
rhinopithecus_roxellana ENSRROG00000031522
rhinopithecus_bieti ENSRBIG00000007017
carlito_syrichta ENSTSYG00000011327
propithecus_coquereli ENSPCOG00000020879
prolemur_simus ENSPSMG00000025078
microcebus_murinus ENSMICG00000007009
otolemur_garnettii ENSOGAG00000004200
tupaia_belangeri ENSTBEG00000014203
castor_canadensis ENSCCNG00000001890
dipodomys_ordii ENSDORG00000025509
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000006542
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015079
mus_spicilegus ENSMSIG00000018678
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014273
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027511
rattus_norvegicus ENSRNOG00000017248
meriones_unguiculatus ENSMUGG00000003895
peromyscus_maniculatus_bairdii ENSPEMG00000015508
microtus_ochrogaster ENSMOCG00000002259
cricetulus_griseus_crigri-picr ENSCGRG00015003604
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023244
cricetulus_griseus_crigri_1.0 ENSCGRG00000010445
mesocricetus_auratus ENSMAUG00000009130
nannospalax_galili ENSNGAG00000007920
chinchilla_lanigera ENSCLAG00000009025
octodon_degus ENSODEG00000007789
cavia_porcellus ENSCPOG00000025222
cavia_aperea ENSCAPG00000012543
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018075
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000018906
fukomys_damarensis ENSFDAG00000004725
spermophilus_dauricus ENSSDAG00000020086
ictidomys_tridecemlineatus ENSSTOG00000006628
urocitellus_parryii ENSUPAG00010012438
marmota_marmota_marmota ENSMMMG00000019814
oryctolagus_cuniculus ENSOCUG00000003384
loxodonta_africana ENSLAFG00000015976
procavia_capensis ENSPCAG00000006351
dasypus_novemcinctus ENSDNOG00000002917
phascolarctos_cinereus ENSPCIG00000011214
notamacropus_eugenii ENSMEUG00000007904
sarcophilus_harrisii ENSSHAG00000015219
monodelphis_domestica ENSMODG00000015369
ornithorhynchus_anatinus ENSOANG00000009468
xenopus_tropicalis ENSXETG00000013879
latimeria_chalumnae ENSLACG00000015819
seriola_lalandi_dorsalis ENSSLDG00000023199
seriola_dumerili ENSSDUG00000015151
scophthalmus_maximus ENSSMAG00000009449
tetraodon_nigroviridis ENSTNIG00000015647
takifugu_rubripes ENSTRUG00000007613
mola_mola ENSMMOG00000019366
labrus_bergylta ENSLBEG00000021532
cynoglossus_semilaevis ENSCSEG00000004668
monopterus_albus ENSMALG00000016916
mastacembelus_armatus ENSMAMG00000000496
anabas_testudineus ENSATEG00000023234
fundulus_heteroclitus ENSFHEG00000006309
cyprinodon_variegatus ENSCVAG00000008537
xiphophorus_maculatus ENSXMAG00000005115
xiphophorus_couchianus ENSXCOG00000016849
gambusia_affinis ENSGAFG00000006013
poecilia_formosa ENSPFOG00000018591
poecilia_mexicana ENSPMEG00000005045
poecilia_latipinna ENSPLAG00000004837
poecilia_reticulata ENSPREG00000016122
kryptolebias_marmoratus ENSKMAG00000006428
oryzias_latipes_asm223467v1 ENSORLG00000018215
oryzias_latipes_asm223469v1 ENSORLG00015007262
oryzias_latipes_asm223471v1 ENSORLG00020011001
oryzias_melastigma ENSOMEG00000013021
pundamilia_nyererei ENSPNYG00000015002
haplochromis_burtoni ENSHBUG00000007356
astatotilapia_calliptera ENSACLG00000007465
maylandia_zebra ENSMZEG00005018323
neolamprologus_brichardi ENSNBRG00000016307
oreochromis_niloticus ENSONIG00000017448
periophthalmus_magnuspinnatus ENSPMGG00000019363
amphiprion_percula ENSAPEG00000016866
amphiprion_ocellaris ENSAOCG00000024533
acanthochromis_polyacanthus ENSAPOG00000024357
acanthochromis_polyacanthus ENSAPOG00000016171
acanthochromis_polyacanthus ENSAPOG00000017343
stegastes_partitus ENSSPAG00000016026
gasterosteus_aculeatus ENSGACG00000008373
hippocampus_comes ENSHCOG00000019881
gadus_morhua ENSGMOG00000017006
esox_lucius ENSELUG00000011611
labrus_bergylta ENSLBEG00000021552
acanthochromis_polyacanthus ENSAPOG00000024344
paramormyrops_kingsleyae ENSPKIG00000008081
pygocentrus_nattereri ENSPNAG00000001576
astyanax_mexicanus ENSAMXG00000016794
ictalurus_punctatus ENSIPUG00000011296
danio_rerio ENSDARG00000000369
scleropages_formosus ENSSFOG00015006261
takifugu_rubripes ENSTRUG00000008850
tetraodon_nigroviridis ENSTNIG00000014529
