maylandia_zebra ENSMZEG00005001953
astatotilapia_calliptera ENSACLG00000012487
pundamilia_nyererei ENSPNYG00000018407
astatotilapia_calliptera ENSACLG00000012532
neolamprologus_brichardi ENSNBRG00000006273
amphilophus_citrinellus ENSACIG00000008523
neolamprologus_brichardi ENSNBRG00000003747
astatotilapia_calliptera ENSACLG00000012472
amphilophus_citrinellus ENSACIG00000008521
oryzias_latipes_asm223469v1 ENSORLG00015020492
oryzias_latipes_asm223469v1 ENSORLG00015020513
xiphophorus_couchianus ENSXCOG00000002399
xiphophorus_maculatus ENSXMAG00000023106
cynoglossus_semilaevis ENSCSEG00000006238
monopterus_albus ENSMALG00000015201
monopterus_albus ENSMALG00000015207
anabas_testudineus ENSATEG00000010860
cynoglossus_semilaevis ENSCSEG00000006188
cynoglossus_semilaevis ENSCSEG00000006198
scophthalmus_maximus ENSSMAG00000018706
poecilia_reticulata ENSPREG00000019073
xiphophorus_maculatus ENSXMAG00000029099
xiphophorus_maculatus ENSXMAG00000025728
fundulus_heteroclitus ENSFHEG00000013833
