spermophilus_dauricus ENSSDAG00000020030
urocitellus_parryii ENSUPAG00010021386
castor_canadensis ENSCCNG00000025009
propithecus_coquereli ENSPCOG00000027667
ursus_americanus ENSUAMG00000010042
ursus_maritimus ENSUMAG00000023495
canis_lupus_dingo ENSCAFG00020010546
vulpes_vulpes ENSVVUG00000015322
neovison_vison ENSNVIG00000011949
panthera_tigris_altaica ENSPTIG00000005591
panthera_pardus ENSPPRG00000023202
felis_catus ENSFCAG00000034355
bos_mutus ENSBMUG00000012498
bos_taurus ENSBTAG00000051322
bison_bison_bison ENSBBBG00000000706
equus_caballus ENSECAG00000028174
equus_asinus_asinus ENSEASG00005001443
