macaca_mulatta ENSMMUG00000045925
macaca_fascicularis ENSMFAG00000030504
chlorocebus_sabaeus ENSCSAG00000006248
macaca_nemestrina ENSMNEG00000039613
theropithecus_gelada ENSTGEG00000006240
rhinopithecus_bieti ENSRBIG00000000048
rhinopithecus_roxellana ENSRROG00000027337
rhinopithecus_roxellana ENSRROG00000024932
aotus_nancymaae ENSANAG00000032777
macaca_fascicularis ENSMFAG00000005980
nomascus_leucogenys ENSNLEG00000029413
saimiri_boliviensis_boliviensis ENSSBOG00000026221
microcebus_murinus ENSMICG00000049165
microcebus_murinus ENSMICG00000043126
marmota_marmota_marmota ENSMMMG00000002416
ursus_americanus ENSUAMG00000023494
ursus_maritimus ENSUMAG00000020772
vulpes_vulpes ENSVVUG00000009352
