oryzias_latipes_asm223471v1 ENSORLG00020000385
oryzias_latipes_asm223469v1 ENSORLG00015006145
oryzias_latipes_asm223467v1 ENSORLG00000024387
oryzias_melastigma ENSOMEG00000010188
gasterosteus_aculeatus ENSGACG00000014511
fundulus_heteroclitus ENSFHEG00000021315
cyprinodon_variegatus ENSCVAG00000016490
poecilia_mexicana ENSPMEG00000002167
poecilia_formosa ENSPFOG00000001398
poecilia_latipinna ENSPLAG00000017896
poecilia_reticulata ENSPREG00000014006
gambusia_affinis ENSGAFG00000001115
xiphophorus_maculatus ENSXMAG00000015600
takifugu_rubripes ENSTRUG00000015692
tetraodon_nigroviridis ENSTNIG00000015641
mola_mola ENSMMOG00000014138
labrus_bergylta ENSLBEG00000012531
mastacembelus_armatus ENSMAMG00000003154
monopterus_albus ENSMALG00000009556
anabas_testudineus ENSATEG00000006893
seriola_lalandi_dorsalis ENSSLDG00000025443
seriola_dumerili ENSSDUG00000020353
amphiprion_ocellaris ENSAOCG00000008418
amphiprion_percula ENSAPEG00000007838
acanthochromis_polyacanthus ENSAPOG00000002470
stegastes_partitus ENSSPAG00000005816
haplochromis_burtoni ENSHBUG00000006717
pundamilia_nyererei ENSPNYG00000004331
astatotilapia_calliptera ENSACLG00000004334
maylandia_zebra ENSMZEG00005020744
neolamprologus_brichardi ENSNBRG00000018094
oreochromis_niloticus ENSONIG00000014199
amphilophus_citrinellus ENSACIG00000015488
cynoglossus_semilaevis ENSCSEG00000019346
periophthalmus_magnuspinnatus ENSPMGG00000013818
hippocampus_comes ENSHCOG00000015270
gadus_morhua ENSGMOG00000014320
esox_lucius ENSELUG00000010386
astyanax_mexicanus ENSAMXG00000033043
pygocentrus_nattereri ENSPNAG00000014527
ictalurus_punctatus ENSIPUG00000011306
danio_rerio ENSDARG00000035290
paramormyrops_kingsleyae ENSPKIG00000003109
scleropages_formosus ENSSFOG00015019574
scleropages_formosus ENSSFOG00015014937
lepisosteus_oculatus ENSLOCG00000011480
pogona_vitticeps ENSPVIG00000010411
anolis_carolinensis ENSACAG00000002401
notechis_scutatus ENSNSUG00000018056
salvator_merianae ENSSMRG00000012413
lonchura_striata_domestica ENSLSDG00000013652
taeniopygia_guttata ENSTGUG00000005521
lepidothrix_coronata ENSLCOG00000002644
gallus_gallus ENSGALG00000010161
coturnix_japonica ENSCJPG00005002191
calidris_pygmaea ENSCPGG00000008772
numida_meleagris ENSNMEG00000009960
meleagris_gallopavo ENSMGAG00000016727
anas_platyrhynchos_platyrhynchos ENSAPLG00000013743
anser_brachyrhynchus ENSABRG00000017516
zonotrichia_albicollis ENSZALG00000016075
serinus_canaria ENSSCAG00000003195
cyanistes_caeruleus ENSCCEG00000016271
calidris_pugnax ENSCPUG00000012470
apteryx_rowi ENSARWG00000002311
apteryx_haastii ENSAHAG00000014528
dromaius_novaehollandiae ENSDNVG00000006902
ficedula_albicollis ENSFALG00000010391
crocodylus_porosus ENSCPRG00005004879
chelonoidis_abingdonii ENSCABG00000022401
gopherus_agassizii ENSGAGG00000017351
chrysemys_picta_bellii ENSCPBG00000025461
sphenodon_punctatus ENSSPUG00000006937
phascolarctos_cinereus ENSPCIG00000030078
notamacropus_eugenii ENSMEUG00000011396
sarcophilus_harrisii ENSSHAG00000008620
monodelphis_domestica ENSMODG00000003407
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023757
mus_spicilegus ENSMSIG00000010354
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000042372
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022839
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0014332
rattus_norvegicus ENSRNOG00000016284
meriones_unguiculatus ENSMUGG00000008994
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001005036
cricetulus_griseus_crigri_1.0 ENSCGRG00000008239
cricetulus_griseus_crigri-picr ENSCGRG00015000851
mesocricetus_auratus ENSMAUG00000008904
microtus_ochrogaster ENSMOCG00000015270
peromyscus_maniculatus_bairdii ENSPEMG00000019990
nannospalax_galili ENSNGAG00000020423
jaculus_jaculus ENSJJAG00000022573
castor_canadensis ENSCCNG00000019286
ictidomys_tridecemlineatus ENSSTOG00000023574
marmota_marmota_marmota ENSMMMG00000003239
urocitellus_parryii ENSUPAG00010016785
cavia_porcellus ENSCPOG00000005912
cavia_aperea ENSCAPG00000015100
chinchilla_lanigera ENSCLAG00000015537
octodon_degus ENSODEG00000004984
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000012858
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100006605
fukomys_damarensis ENSFDAG00000019682
oryctolagus_cuniculus ENSOCUG00000003295
ochotona_princeps ENSOPRG00000011113
gorilla_gorilla ENSGGOG00000013303
homo_sapiens ENSG00000064218
pan_troglodytes ENSPTRG00000020729
pan_paniscus ENSPPAG00000027768
nomascus_leucogenys ENSNLEG00000008556
colobus_angolensis_palliatus ENSCANG00000012074
piliocolobus_tephrosceles ENSPTEG00000000131
rhinopithecus_roxellana ENSRROG00000033393
rhinopithecus_bieti ENSRBIG00000030818
mandrillus_leucophaeus ENSMLEG00000006865
papio_anubis ENSPANG00000025123
theropithecus_gelada ENSTGEG00000022442
cercocebus_atys ENSCATG00000043509
macaca_nemestrina ENSMNEG00000035240
macaca_fascicularis ENSMFAG00000045737
chlorocebus_sabaeus ENSCSAG00000008627
pongo_abelii ENSPPYG00000019260
cebus_capucinus_imitator ENSCCAG00000029577
saimiri_boliviensis_boliviensis ENSSBOG00000027585
callithrix_jacchus ENSCJAG00000043396
aotus_nancymaae ENSANAG00000027840
carlito_syrichta ENSTSYG00000034280
propithecus_coquereli ENSPCOG00000007225
prolemur_simus ENSPSMG00000025210
microcebus_murinus ENSMICG00000044854
otolemur_garnettii ENSOGAG00000026565
tupaia_belangeri ENSTBEG00000002058
bos_taurus ENSBTAG00000017800
bison_bison_bison ENSBBBG00000016636
capra_hircus ENSCHIG00000013041
bos_mutus ENSBMUG00000008302
ovis_aries ENSOARG00000013235
tursiops_truncatus ENSTTRG00000014172
sus_scrofa ENSSSCG00000040481
ailuropoda_melanoleuca ENSAMEG00000006664
ursus_americanus ENSUAMG00000013280
neovison_vison ENSNVIG00000008601
canis_lupus_dingo ENSCAFG00020026752
canis_lupus_familiaris ENSCAFG00000023150
vulpes_vulpes ENSVVUG00000004555
panthera_pardus ENSPPRG00000002367
panthera_tigris_altaica ENSPTIG00000004916
felis_catus ENSFCAG00000036847
myotis_lucifugus ENSMLUG00000023753
myotis_lucifugus ENSMLUG00000024381
equus_asinus_asinus ENSEASG00005010303
equus_caballus ENSECAG00000023412
dasypus_novemcinctus ENSDNOG00000004047
choloepus_hoffmanni ENSCHOG00000007236
loxodonta_africana ENSLAFG00000028125
ornithorhynchus_anatinus ENSOANG00000008295
xenopus_tropicalis ENSXETG00000015285
latimeria_chalumnae ENSLACG00000012023
anolis_carolinensis ENSACAG00000014153
eptatretus_burgeri ENSEBUG00000013158
