pteropus_vampyrus ENSPVAG00000012212
myotis_lucifugus ENSMLUG00000017353
ursus_americanus ENSUAMG00000012298
ursus_maritimus ENSUMAG00000009498
ailuropoda_melanoleuca ENSAMEG00000006203
mustela_putorius_furo ENSMPUG00000016490
neovison_vison ENSNVIG00000008324
canis_lupus_dingo ENSCAFG00020014447
canis_lupus_familiaris ENSCAFG00000014967
vulpes_vulpes ENSVVUG00000008713
panthera_pardus ENSPPRG00000020661
panthera_tigris_altaica ENSPTIG00000012424
felis_catus ENSFCAG00000006593
bos_taurus ENSBTAG00000039512
bos_mutus ENSBMUG00000023364
bison_bison_bison ENSBBBG00000010489
capra_hircus ENSCHIG00000023626
ovis_aries ENSOARG00000018482
tursiops_truncatus ENSTTRG00000002445
sus_scrofa ENSSSCG00000039842
erinaceus_europaeus ENSEEUG00000012001
equus_caballus ENSECAG00000019610
equus_asinus_asinus ENSEASG00005007738
pan_paniscus ENSPPAG00000043285
pan_troglodytes ENSPTRG00000023744
homo_sapiens ENSG00000197037
gorilla_gorilla ENSGGOG00000016950
pongo_abelii ENSPPYG00000017385
nomascus_leucogenys ENSNLEG00000029330
rhinopithecus_bieti ENSRBIG00000025241
rhinopithecus_roxellana ENSRROG00000043347
colobus_angolensis_palliatus ENSCANG00000028444
piliocolobus_tephrosceles ENSPTEG00000018541
cercocebus_atys ENSCATG00000010757
mandrillus_leucophaeus ENSMLEG00000006141
papio_anubis ENSPANG00000023896
theropithecus_gelada ENSTGEG00000012237
macaca_nemestrina ENSMNEG00000026859
macaca_mulatta ENSMMUG00000022728
macaca_fascicularis ENSMFAG00000046015
chlorocebus_sabaeus ENSCSAG00000017807
saimiri_boliviensis_boliviensis ENSSBOG00000032849
cebus_capucinus_imitator ENSCCAG00000037223
callithrix_jacchus ENSCJAG00000015783
aotus_nancymaae ENSANAG00000020427
carlito_syrichta ENSTSYG00000033603
prolemur_simus ENSPSMG00000004884
propithecus_coquereli ENSPCOG00000020153
microcebus_murinus ENSMICG00000006018
otolemur_garnettii ENSOGAG00000011024
tupaia_belangeri ENSTBEG00000005208
chinchilla_lanigera ENSCLAG00000006740
octodon_degus ENSODEG00000012099
cavia_porcellus ENSCPOG00000031211
cavia_aperea ENSCAPG00000016484
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000006741
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100010453
fukomys_damarensis ENSFDAG00000018486
urocitellus_parryii ENSUPAG00010008096
spermophilus_dauricus ENSSDAG00000024942
ictidomys_tridecemlineatus ENSSTOG00000008185
marmota_marmota_marmota ENSMMMG00000005159
dipodomys_ordii ENSDORG00000024526
castor_canadensis ENSCCNG00000011528
peromyscus_maniculatus_bairdii ENSPEMG00000024325
microtus_ochrogaster ENSMOCG00000000193
cricetulus_griseus_crigri-picr ENSCGRG00015016176
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017680
cricetulus_griseus_crigri_1.0 ENSCGRG00000003971
mesocricetus_auratus ENSMAUG00000012364
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029018
mus_spicilegus ENSMSIG00000028875
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000070420
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028017
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0024586
rattus_norvegicus ENSRNOG00000042213
nannospalax_galili ENSNGAG00000021657
jaculus_jaculus ENSJJAG00000021006
oryctolagus_cuniculus ENSOCUG00000007939
ochotona_princeps ENSOPRG00000005802
loxodonta_africana ENSLAFG00000031435
procavia_capensis ENSPCAG00000014814
echinops_telfairi ENSETEG00000002710
choloepus_hoffmanni ENSCHOG00000013957
dasypus_novemcinctus ENSDNOG00000039854
