tupaia_belangeri ENSTBEG00000013979
otolemur_garnettii ENSOGAG00000027580
rattus_norvegicus ENSRNOG00000012314
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0029754
jaculus_jaculus ENSJJAG00000018723
chinchilla_lanigera ENSCLAG00000008545
cavia_porcellus ENSCPOG00000001500
oryctolagus_cuniculus ENSOCUG00000009713
ochotona_princeps ENSOPRG00000007560
choloepus_hoffmanni ENSCHOG00000001533
pteropus_vampyrus ENSPVAG00000006420
myotis_lucifugus ENSMLUG00000022403
canis_lupus_familiaris ENSCAFG00000017230
canis_lupus_dingo ENSCAFG00020000852
ovis_aries ENSOARG00000016139
ovis_aries ENSOARG00000001944
capra_hircus ENSCHIG00000019077
ovis_aries ENSOARG00000002642
bos_taurus ENSBTAG00000008135
bos_mutus ENSBMUG00000015464
bos_taurus ENSBTAG00000050457
bison_bison_bison ENSBBBG00000008029
capra_hircus ENSCHIG00000002964
tursiops_truncatus ENSTTRG00000009328
equus_caballus ENSECAG00000000712
dasypus_novemcinctus ENSDNOG00000041397
procavia_capensis ENSPCAG00000004290
