heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009928
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100017366
fukomys_damarensis ENSFDAG00000010624
cavia_porcellus ENSCPOG00000035123
chinchilla_lanigera ENSCLAG00000005239
marmota_marmota_marmota ENSMMMG00000004733
marmota_marmota_marmota ENSMMMG00000004113
urocitellus_parryii ENSUPAG00010016700
ictidomys_tridecemlineatus ENSSTOG00000001025
spermophilus_dauricus ENSSDAG00000017812
nannospalax_galili ENSNGAG00000001052
rhinopithecus_bieti ENSRBIG00000013215
rhinopithecus_roxellana ENSRROG00000045669
piliocolobus_tephrosceles ENSPTEG00000036222
colobus_angolensis_palliatus ENSCANG00000042942
papio_anubis ENSPANG00000032404
theropithecus_gelada ENSTGEG00000017424
mandrillus_leucophaeus ENSMLEG00000032167
macaca_nemestrina ENSMNEG00000040378
macaca_fascicularis ENSMFAG00000002637
cercocebus_atys ENSCATG00000009492
chlorocebus_sabaeus ENSCSAG00000015617
pan_troglodytes ENSPTRG00000044829
pan_paniscus ENSPPAG00000029905
homo_sapiens ENSG00000204822
gorilla_gorilla ENSGGOG00000006504
nomascus_leucogenys ENSNLEG00000032770
cebus_capucinus_imitator ENSCCAG00000025749
saimiri_boliviensis_boliviensis ENSSBOG00000026949
callithrix_jacchus ENSCJAG00000043158
aotus_nancymaae ENSANAG00000032295
carlito_syrichta ENSTSYG00000002278
propithecus_coquereli ENSPCOG00000028676
prolemur_simus ENSPSMG00000020361
microcebus_murinus ENSMICG00000042776
otolemur_garnettii ENSOGAG00000001059
vulpes_vulpes ENSVVUG00000004459
canis_lupus_dingo ENSCAFG00020014067
ailuropoda_melanoleuca ENSAMEG00000017229
neovison_vison ENSNVIG00000020241
mustela_putorius_furo ENSMPUG00000008055
panthera_pardus ENSPPRG00000008059
panthera_tigris_altaica ENSPTIG00000011649
felis_catus ENSFCAG00000036033
ursus_maritimus ENSUMAG00000001594
ursus_americanus ENSUAMG00000021706
bos_mutus ENSBMUG00000012961
capra_hircus ENSCHIG00000009415
capra_hircus ENSCHIG00000021224
ovis_aries ENSOARG00000012700
bos_taurus ENSBTAG00000016599
bison_bison_bison ENSBBBG00000000504
capra_hircus ENSCHIG00000020713
tursiops_truncatus ENSTTRG00000012719
equus_asinus_asinus ENSEASG00005010610
equus_caballus ENSECAG00000026983
echinops_telfairi ENSETEG00000012580
pteropus_vampyrus ENSPVAG00000013958
myotis_lucifugus ENSMLUG00000002655
oryctolagus_cuniculus ENSOCUG00000015342
mus_spicilegus ENSMSIG00000031581
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029550
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000030037
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028544
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022279
rattus_norvegicus ENSRNOG00000052279
rattus_norvegicus ENSRNOG00000053109
meriones_unguiculatus ENSMUGG00000021921
meriones_unguiculatus ENSMUGG00000021980
peromyscus_maniculatus_bairdii ENSPEMG00000008725
microtus_ochrogaster ENSMOCG00000015167
cricetulus_griseus_crigri_1.0 ENSCGRG00000008972
cricetulus_griseus_crigri-picr ENSCGRG00015014515
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012557
mesocricetus_auratus ENSMAUG00000010618
jaculus_jaculus ENSJJAG00000011605
castor_canadensis ENSCCNG00000003268
tupaia_belangeri ENSTBEG00000017688
carlito_syrichta ENSTSYG00000037574
dasypus_novemcinctus ENSDNOG00000046731
sorex_araneus ENSSARG00000010686
procavia_capensis ENSPCAG00000016829
loxodonta_africana ENSLAFG00000007990
notamacropus_eugenii ENSMEUG00000008909
phascolarctos_cinereus ENSPCIG00000036051
sarcophilus_harrisii ENSSHAG00000016957
