dasypus_novemcinctus ENSDNOG00000036266
procavia_capensis ENSPCAG00000009555
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010620
cricetulus_griseus_crigri_1.0 ENSCGRG00000016013
cricetulus_griseus_crigri-picr ENSCGRG00015024640
mesocricetus_auratus ENSMAUG00000017996
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023886
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000090369
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022965
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0014455
nannospalax_galili ENSNGAG00000023063
castor_canadensis ENSCCNG00000020442
cavia_porcellus ENSCPOG00000033899
urocitellus_parryii ENSUPAG00010014696
ictidomys_tridecemlineatus ENSSTOG00000020441
marmota_marmota_marmota ENSMMMG00000021691
spermophilus_dauricus ENSSDAG00000023043
oryctolagus_cuniculus ENSOCUG00000007806
ochotona_princeps ENSOPRG00000005193
tupaia_belangeri ENSTBEG00000014158
propithecus_coquereli ENSPCOG00000003877
microcebus_murinus ENSMICG00000007711
otolemur_garnettii ENSOGAG00000008787
homo_sapiens ENSG00000203942
canis_lupus_familiaris ENSCAFG00000025366
canis_lupus_dingo ENSCAFG00020006047
vulpes_vulpes ENSVVUG00000023240
ursus_maritimus ENSUMAG00000022429
ursus_americanus ENSUAMG00000010289
panthera_tigris_altaica ENSPTIG00000015070
pteropus_vampyrus ENSPVAG00000003384
tursiops_truncatus ENSTTRG00000009897
capra_hircus ENSCHIG00000025583
vicugna_pacos ENSVPAG00000004327
monodelphis_domestica ENSMODG00000003970
ornithorhynchus_anatinus ENSOANG00000013062
