mastacembelus_armatus ENSMAMG00000011775
monopterus_albus ENSMALG00000021742
scophthalmus_maximus ENSSMAG00000010413
tetraodon_nigroviridis ENSTNIG00000017898
takifugu_rubripes ENSTRUG00000010853
mola_mola ENSMMOG00000020556
gasterosteus_aculeatus ENSGACG00000002762
fundulus_heteroclitus ENSFHEG00000003299
cyprinodon_variegatus ENSCVAG00000014884
poecilia_reticulata ENSPREG00000015729
poecilia_latipinna ENSPLAG00000023558
poecilia_mexicana ENSPMEG00000009085
gambusia_affinis ENSGAFG00000016124
poecilia_formosa ENSPFOG00000013510
xiphophorus_maculatus ENSXMAG00000017184
xiphophorus_couchianus ENSXCOG00000011089
kryptolebias_marmoratus ENSKMAG00000016951
oryzias_latipes_asm223471v1 ENSORLG00020021329
oryzias_latipes_asm223467v1 ENSORLG00000010228
oryzias_latipes_asm223469v1 ENSORLG00015017163
oryzias_melastigma ENSOMEG00000010916
labrus_bergylta ENSLBEG00000010394
anabas_testudineus ENSATEG00000007215
seriola_lalandi_dorsalis ENSSLDG00000007220
seriola_dumerili ENSSDUG00000015040
amphiprion_ocellaris ENSAOCG00000006045
amphiprion_percula ENSAPEG00000010323
acanthochromis_polyacanthus ENSAPOG00000010678
stegastes_partitus ENSSPAG00000002478
cynoglossus_semilaevis ENSCSEG00000021303
periophthalmus_magnuspinnatus ENSPMGG00000022788
neolamprologus_brichardi ENSNBRG00000016423
oreochromis_niloticus ENSONIG00000017328
astatotilapia_calliptera ENSACLG00000024880
pundamilia_nyererei ENSPNYG00000003910
maylandia_zebra ENSMZEG00005023701
haplochromis_burtoni ENSHBUG00000005933
amphilophus_citrinellus ENSACIG00000020857
hippocampus_comes ENSHCOG00000009375
gadus_morhua ENSGMOG00000018108
esox_lucius ENSELUG00000001822
pygocentrus_nattereri ENSPNAG00000014059
astyanax_mexicanus ENSAMXG00000013746
ictalurus_punctatus ENSIPUG00000014094
danio_rerio ENSDARG00000020764
