dasypus_novemcinctus ENSDNOG00000031036
choloepus_hoffmanni ENSCHOG00000001377
loxodonta_africana ENSLAFG00000008540
procavia_capensis ENSPCAG00000016074
echinops_telfairi ENSETEG00000008748
castor_canadensis ENSCCNG00000028509
dipodomys_ordii ENSDORG00000006586
cricetulus_griseus_crigri_1.0 ENSCGRG00000007446
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018662
cricetulus_griseus_crigri-picr ENSCGRG00015020893
mesocricetus_auratus ENSMAUG00000005165
peromyscus_maniculatus_bairdii ENSPEMG00000024020
microtus_ochrogaster ENSMOCG00000012072
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0008940
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014500
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015306
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0009400
mus_spicilegus ENSMSIG00000006028
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000092572
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027735
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0008428
rattus_norvegicus ENSRNOG00000002417
meriones_unguiculatus ENSMUGG00000008247
nannospalax_galili ENSNGAG00000008537
jaculus_jaculus ENSJJAG00000012267
spermophilus_dauricus ENSSDAG00000016960
urocitellus_parryii ENSUPAG00010002981
ictidomys_tridecemlineatus ENSSTOG00000021393
marmota_marmota_marmota ENSMMMG00000002470
oryctolagus_cuniculus ENSOCUG00000007795
ochotona_princeps ENSOPRG00000003320
pan_troglodytes ENSPTRG00000010091
pan_troglodytes ENSPTRG00000050924
pan_paniscus ENSPPAG00000042899
homo_sapiens ENSG00000242550
gorilla_gorilla ENSGGOG00000012950
pongo_abelii ENSPPYG00000009223
nomascus_leucogenys ENSNLEG00000008933
macaca_mulatta ENSMMUG00000016618
macaca_nemestrina ENSMNEG00000037942
macaca_fascicularis ENSMFAG00000035673
theropithecus_gelada ENSTGEG00000004458
papio_anubis ENSPANG00000009799
mandrillus_leucophaeus ENSMLEG00000040721
chlorocebus_sabaeus ENSCSAG00000018207
cercocebus_atys ENSCATG00000036113
colobus_angolensis_palliatus ENSCANG00000035932
piliocolobus_tephrosceles ENSPTEG00000026457
rhinopithecus_bieti ENSRBIG00000041611
rhinopithecus_roxellana ENSRROG00000029391
cebus_capucinus_imitator ENSCCAG00000021308
saimiri_boliviensis_boliviensis ENSSBOG00000026076
callithrix_jacchus ENSCJAG00000042748
aotus_nancymaae ENSANAG00000023527
carlito_syrichta ENSTSYG00000001276
microcebus_murinus ENSMICG00000016513
prolemur_simus ENSPSMG00000021438
propithecus_coquereli ENSPCOG00000016424
otolemur_garnettii ENSOGAG00000016658
tupaia_belangeri ENSTBEG00000012419
myotis_lucifugus ENSMLUG00000015851
pteropus_vampyrus ENSPVAG00000001629
equus_asinus_asinus ENSEASG00005001115
equus_caballus ENSECAG00000008493
erinaceus_europaeus ENSEEUG00000000284
sorex_araneus ENSSARG00000008411
bos_taurus ENSBTAG00000001102
bos_mutus ENSBMUG00000002733
bison_bison_bison ENSBBBG00000022103
ovis_aries ENSOARG00000006971
capra_hircus ENSCHIG00000021699
tursiops_truncatus ENSTTRG00000005226
sus_scrofa ENSSSCG00000004889
vicugna_pacos ENSVPAG00000003050
ursus_maritimus ENSUMAG00000002222
ursus_americanus ENSUAMG00000011324
ailuropoda_melanoleuca ENSAMEG00000015156
mustela_putorius_furo ENSMPUG00000016590
neovison_vison ENSNVIG00000012349
canis_lupus_familiaris ENSCAFG00000023582
canis_lupus_dingo ENSCAFG00020015978
vulpes_vulpes ENSVVUG00000018359
panthera_tigris_altaica ENSPTIG00000019796
panthera_pardus ENSPPRG00000018460
felis_catus ENSFCAG00000008383
phascolarctos_cinereus ENSPCIG00000000835
sarcophilus_harrisii ENSSHAG00000018464
monodelphis_domestica ENSMODG00000005460
notamacropus_eugenii ENSMEUG00000015865
bos_taurus ENSBTAG00000050427
bos_mutus ENSBMUG00000002698
sus_scrofa ENSSSCG00000034000
equus_caballus ENSECAG00000000774
equus_asinus_asinus ENSEASG00005001133
pogona_vitticeps ENSPVIG00000000963
anolis_carolinensis ENSACAG00000024865
salvator_merianae ENSSMRG00000008567
sphenodon_punctatus ENSSPUG00000015442
serinus_canaria ENSSCAG00000002377
lonchura_striata_domestica ENSLSDG00000013414
junco_hyemalis ENSJHYG00000002992
zonotrichia_albicollis ENSZALG00000014487
cyanistes_caeruleus ENSCCEG00000003850
parus_major ENSPMJG00000000250
ficedula_albicollis ENSFALG00000013037
lepidothrix_coronata ENSLCOG00000005982
manacus_vitellinus ENSMVIG00005015913
manacus_vitellinus ENSMVIG00005015915
melopsittacus_undulatus ENSMUNG00000000355
calidris_pygmaea ENSCPGG00000005852
calidris_pugnax ENSCPUG00000001429
coturnix_japonica ENSCJPG00005015611
meleagris_gallopavo ENSMGAG00000004382
gallus_gallus ENSGALG00000019552
numida_meleagris ENSNMEG00000004759
anser_brachyrhynchus ENSABRG00000011997
apteryx_owenii ENSAOWG00000011937
apteryx_haastii ENSAHAG00000017404
apteryx_rowi ENSARWG00000004614
dromaius_novaehollandiae ENSDNVG00000017698
nothoprocta_perdicaria ENSNPEG00000010224
crocodylus_porosus ENSCPRG00005017554
chelonoidis_abingdonii ENSCABG00000002101
gopherus_agassizii ENSGAGG00000022256
chrysemys_picta_bellii ENSCPBG00000010925
pelodiscus_sinensis ENSPSIG00000016992
poecilia_reticulata ENSPREG00000007408
