canis_lupus_familiaris ENSCAFG00000032365
canis_lupus_dingo ENSCAFG00020024275
vulpes_vulpes ENSVVUG00000016371
mustela_putorius_furo ENSMPUG00000009587
neovison_vison ENSNVIG00000016820
ursus_maritimus ENSUMAG00000020372
ursus_americanus ENSUAMG00000007022
panthera_pardus ENSPPRG00000000945
panthera_tigris_altaica ENSPTIG00000019666
felis_catus ENSFCAG00000029346
tursiops_truncatus ENSTTRG00000012513
vicugna_pacos ENSVPAG00000001981
capra_hircus ENSCHIG00000024056
ovis_aries ENSOARG00000019242
bos_mutus ENSBMUG00000008664
bos_taurus ENSBTAG00000018262
bison_bison_bison ENSBBBG00000015891
pteropus_vampyrus ENSPVAG00000015163
equus_asinus_asinus ENSEASG00005009295
equus_caballus ENSECAG00000010707
oryctolagus_cuniculus ENSOCUG00000017028
ochotona_princeps ENSOPRG00000010715
myotis_lucifugus ENSMLUG00000001329
rhinopithecus_roxellana ENSRROG00000033643
rhinopithecus_bieti ENSRBIG00000039435
piliocolobus_tephrosceles ENSPTEG00000004525
cercocebus_atys ENSCATG00000032579
theropithecus_gelada ENSTGEG00000023236
papio_anubis ENSPANG00000000675
chlorocebus_sabaeus ENSCSAG00000009701
macaca_mulatta ENSMMUG00000010506
macaca_nemestrina ENSMNEG00000035452
macaca_fascicularis ENSMFAG00000038732
colobus_angolensis_palliatus ENSCANG00000008275
mandrillus_leucophaeus ENSMLEG00000000895
pan_troglodytes ENSPTRG00000011758
pan_paniscus ENSPPAG00000035147
homo_sapiens ENSG00000163793
gorilla_gorilla ENSGGOG00000011667
pongo_abelii ENSPPYG00000012555
nomascus_leucogenys ENSNLEG00000003229
cebus_capucinus_imitator ENSCCAG00000027592
saimiri_boliviensis_boliviensis ENSSBOG00000032270
callithrix_jacchus ENSCJAG00000001112
aotus_nancymaae ENSANAG00000034170
carlito_syrichta ENSTSYG00000012648
microcebus_murinus ENSMICG00000047326
propithecus_coquereli ENSPCOG00000014166
prolemur_simus ENSPSMG00000003275
castor_canadensis ENSCCNG00000004144
dipodomys_ordii ENSDORG00000010140
mus_spicilegus ENSMSIG00000014869
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000053856
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028072
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027077
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0029304
rattus_norvegicus ENSRNOG00000026578
meriones_unguiculatus ENSMUGG00000027023
cricetulus_griseus_crigri_1.0 ENSCGRG00000006967
cricetulus_griseus_crigri-picr ENSCGRG00015025814
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001005893
mesocricetus_auratus ENSMAUG00000008241
peromyscus_maniculatus_bairdii ENSPEMG00000005319
microtus_ochrogaster ENSMOCG00000003525
nannospalax_galili ENSNGAG00000019844
jaculus_jaculus ENSJJAG00000004519
urocitellus_parryii ENSUPAG00010006344
marmota_marmota_marmota ENSMMMG00000020602
spermophilus_dauricus ENSSDAG00000024779
ictidomys_tridecemlineatus ENSSTOG00000033652
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100006561
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000012562
fukomys_damarensis ENSFDAG00000009762
cavia_porcellus ENSCPOG00000003837
chinchilla_lanigera ENSCLAG00000006136
erinaceus_europaeus ENSEEUG00000000998
choloepus_hoffmanni ENSCHOG00000002207
dasypus_novemcinctus ENSDNOG00000014637
loxodonta_africana ENSLAFG00000005572
phascolarctos_cinereus ENSPCIG00000013416
notamacropus_eugenii ENSMEUG00000003678
monodelphis_domestica ENSMODG00000015687
