lepidothrix_coronata ENSLCOG00000010122
manacus_vitellinus ENSMVIG00005002576
ficedula_albicollis ENSFALG00000009265
lonchura_striata_domestica ENSLSDG00000005362
taeniopygia_guttata ENSTGUG00000005436
junco_hyemalis ENSJHYG00000011469
anas_platyrhynchos_platyrhynchos ENSAPLG00000024296
anser_brachyrhynchus ENSABRG00000011947
numida_meleagris ENSNMEG00000015801
coturnix_japonica ENSCJPG00005019964
calidris_pugnax ENSCPUG00000007618
chelonoidis_abingdonii ENSCABG00000007715
gopherus_agassizii ENSGAGG00000000829
chrysemys_picta_bellii ENSCPBG00000025969
pelodiscus_sinensis ENSPSIG00000012999
nothoprocta_perdicaria ENSNPEG00000012062
sphenodon_punctatus ENSSPUG00000012619
monodelphis_domestica ENSMODG00000012451
notamacropus_eugenii ENSMEUG00000009438
sarcophilus_harrisii ENSSHAG00000015009
microcebus_murinus ENSMICG00000033828
propithecus_coquereli ENSPCOG00000024512
carlito_syrichta ENSTSYG00000036326
equus_asinus_asinus ENSEASG00005012589
equus_caballus ENSECAG00000002931
myotis_lucifugus ENSMLUG00000016461
bos_taurus ENSBTAG00000020504
capra_hircus ENSCHIG00000017864
canis_lupus_dingo ENSCAFG00020000589
canis_lupus_familiaris ENSCAFG00000009503
canis_lupus_dingo ENSCAFG00020016166
felis_catus ENSFCAG00000026822
sus_scrofa ENSSSCG00000009775
vulpes_vulpes ENSVVUG00000009548
myotis_lucifugus ENSMLUG00000024661
bos_mutus ENSBMUG00000013749
pongo_abelii ENSPPYG00000005083
saimiri_boliviensis_boliviensis ENSSBOG00000022451
cavia_aperea ENSCAPG00000006063
jaculus_jaculus ENSJJAG00000002281
jaculus_jaculus ENSJJAG00000021019
peromyscus_maniculatus_bairdii ENSPEMG00000025014
peromyscus_maniculatus_bairdii ENSPEMG00000026324
microtus_ochrogaster ENSMOCG00000006148
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023639
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000078154
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000029394
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027748
mus_spicilegus ENSMSIG00000009250
mus_spicilegus ENSMSIG00000019414
