haplochromis_burtoni ENSHBUG00000017509
pundamilia_nyererei ENSPNYG00000015379
maylandia_zebra ENSMZEG00005003311
astatotilapia_calliptera ENSACLG00000026546
oreochromis_niloticus ENSONIG00000011436
neolamprologus_brichardi ENSNBRG00000015568
amphilophus_citrinellus ENSACIG00000011149
cyprinodon_variegatus ENSCVAG00000014814
fundulus_heteroclitus ENSFHEG00000006899
poecilia_formosa ENSPFOG00000002537
poecilia_latipinna ENSPLAG00000007901
poecilia_mexicana ENSPMEG00000011929
poecilia_reticulata ENSPREG00000014479
xiphophorus_maculatus ENSXMAG00000006776
xiphophorus_couchianus ENSXCOG00000019123
gambusia_affinis ENSGAFG00000010393
seriola_lalandi_dorsalis ENSSLDG00000000784
cynoglossus_semilaevis ENSCSEG00000011656
mola_mola ENSMMOG00000015387
amphiprion_percula ENSAPEG00000009410
scophthalmus_maximus ENSSMAG00000008401
amphiprion_ocellaris ENSAOCG00000010266
acanthochromis_polyacanthus ENSAPOG00000015156
stegastes_partitus ENSSPAG00000004198
oryzias_latipes_asm223467v1 ENSORLG00000022529
oryzias_latipes_asm223471v1 ENSORLG00020002358
oryzias_latipes_asm223469v1 ENSORLG00015007111
oryzias_melastigma ENSOMEG00000016744
kryptolebias_marmoratus ENSKMAG00000010859
monopterus_albus ENSMALG00000014029
mastacembelus_armatus ENSMAMG00000005107
anabas_testudineus ENSATEG00000018901
seriola_dumerili ENSSDUG00000001071
labrus_bergylta ENSLBEG00000004023
hippocampus_comes ENSHCOG00000011475
periophthalmus_magnuspinnatus ENSPMGG00000018692
scophthalmus_maximus ENSSMAG00000008420
cynoglossus_semilaevis ENSCSEG00000011664
seriola_lalandi_dorsalis ENSSLDG00000000832
amphiprion_percula ENSAPEG00000009434
amphilophus_citrinellus ENSACIG00000011120
takifugu_rubripes ENSTRUG00000023477
mola_mola ENSMMOG00000015391
gadus_morhua ENSGMOG00000018768
astyanax_mexicanus ENSAMXG00000038118
tetraodon_nigroviridis ENSTNIG00000008198
takifugu_rubripes ENSTRUG00000001155
esox_lucius ENSELUG00000019442
pygocentrus_nattereri ENSPNAG00000026578
astyanax_mexicanus ENSAMXG00000029575
ictalurus_punctatus ENSIPUG00000019227
danio_rerio ENSDARG00000055837
scleropages_formosus ENSSFOG00015021721
paramormyrops_kingsleyae ENSPKIG00000021036
lepisosteus_oculatus ENSLOCG00000004462
sphenodon_punctatus ENSSPUG00000016807
sphenodon_punctatus ENSSPUG00000016770
pogona_vitticeps ENSPVIG00000003144
notechis_scutatus ENSNSUG00000009875
salvator_merianae ENSSMRG00000005965
chrysemys_picta_bellii ENSCPBG00000003812
apteryx_owenii ENSAOWG00000005825
apteryx_rowi ENSARWG00000006108
parus_major ENSPMJG00000003619
oryctolagus_cuniculus ENSOCUG00000007750
ochotona_princeps ENSOPRG00000002940
cavia_porcellus ENSCPOG00000034092
spermophilus_dauricus ENSSDAG00000006842
otolemur_garnettii ENSOGAG00000005684
saimiri_boliviensis_boliviensis ENSSBOG00000034166
myotis_lucifugus ENSMLUG00000012943
pteropus_vampyrus ENSPVAG00000008982
tursiops_truncatus ENSTTRG00000008288
bison_bison_bison ENSBBBG00000020177
erinaceus_europaeus ENSEEUG00000004911
pan_troglodytes ENSPTRG00000011039
pan_paniscus ENSPPAG00000039794
homo_sapiens ENSG00000076928
gorilla_gorilla ENSGGOG00000015282
pongo_abelii ENSPPYG00000010031
nomascus_leucogenys ENSNLEG00000013480
rhinopithecus_bieti ENSRBIG00000037210
rhinopithecus_roxellana ENSRROG00000037345
colobus_angolensis_palliatus ENSCANG00000031009
macaca_fascicularis ENSMFAG00000032261
macaca_mulatta ENSMMUG00000022305
macaca_nemestrina ENSMNEG00000028757
theropithecus_gelada ENSTGEG00000021867
papio_anubis ENSPANG00000011864
cercocebus_atys ENSCATG00000031490
mandrillus_leucophaeus ENSMLEG00000028557
chlorocebus_sabaeus ENSCSAG00000003495
piliocolobus_tephrosceles ENSPTEG00000026695
callithrix_jacchus ENSCJAG00000020252
cebus_capucinus_imitator ENSCCAG00000036552
aotus_nancymaae ENSANAG00000020006
carlito_syrichta ENSTSYG00000035317
propithecus_coquereli ENSPCOG00000016706
prolemur_simus ENSPSMG00000016214
microcebus_murinus ENSMICG00000009512
octodon_degus ENSODEG00000009700
cavia_aperea ENSCAPG00000008061
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018951
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000003059
fukomys_damarensis ENSFDAG00000004976
urocitellus_parryii ENSUPAG00010021957
ictidomys_tridecemlineatus ENSSTOG00000003526
marmota_marmota_marmota ENSMMMG00000016411
mus_spicilegus ENSMSIG00000009574
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030448
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000040940
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029351
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021204
rattus_norvegicus ENSRNOG00000020130
meriones_unguiculatus ENSMUGG00000013128
cricetulus_griseus_crigri-picr ENSCGRG00015023007
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001000673
cricetulus_griseus_crigri_1.0 ENSCGRG00000014604
mesocricetus_auratus ENSMAUG00000013887
microtus_ochrogaster ENSMOCG00000009746
peromyscus_maniculatus_bairdii ENSPEMG00000012222
nannospalax_galili ENSNGAG00000004918
jaculus_jaculus ENSJJAG00000019422
castor_canadensis ENSCCNG00000006306
dipodomys_ordii ENSDORG00000010815
tupaia_belangeri ENSTBEG00000003489
loxodonta_africana ENSLAFG00000009353
ursus_americanus ENSUAMG00000005726
ursus_maritimus ENSUMAG00000002856
ailuropoda_melanoleuca ENSAMEG00000004495
mustela_putorius_furo ENSMPUG00000007235
neovison_vison ENSNVIG00000024617
canis_lupus_familiaris ENSCAFG00000030005
canis_lupus_familiaris ENSCAFG00000028799
canis_lupus_dingo ENSCAFG00020014703
vulpes_vulpes ENSVVUG00000010615
panthera_pardus ENSPPRG00000008642
panthera_tigris_altaica ENSPTIG00000016034
felis_catus ENSFCAG00000008128
equus_asinus_asinus ENSEASG00005003557
equus_caballus ENSECAG00000035888
bos_taurus ENSBTAG00000018912
bos_mutus ENSBMUG00000008227
capra_hircus ENSCHIG00000022244
ovis_aries ENSOARG00000008352
sus_scrofa ENSSSCG00000003040
dasypus_novemcinctus ENSDNOG00000031480
procavia_capensis ENSPCAG00000014377
chinchilla_lanigera ENSCLAG00000001895
notamacropus_eugenii ENSMEUG00000012647
phascolarctos_cinereus ENSPCIG00000004739
cavia_porcellus ENSCPOG00000031488
ornithorhynchus_anatinus ENSOANG00000013661
xenopus_tropicalis ENSXETG00000033428
latimeria_chalumnae ENSLACG00000007427
